partition,output
2.36121060738334e-06,Pollock|SD|57648|45.889|-100.2875|335
2.409795187782174e-06,Kansas City|MO|64192|38.9531|-94.5237|545147
2.4583797681810083e-06,Los Angeles|CA|90071|34.0529|-118.2549|2383912
2.5069643485798425e-06,Redig|SD|57776|45.5789|-103.4937|15
2.5555489289786767e-06,Cisco|UT|84515|38.9999|-109.615|15
2.604133509377511e-06,Lead Hill|AR|72644|36.3848|-93.0039|2268
2.655957061802934e-06,Tie Siding|WY|82084|41.0528|-105.4462|16
2.707780614228357e-06,North Eastham|MA|02651|41.8243|-69.9818|16
2.75960416665378e-06,Land O Lakes|WI|54540|46.1563|-89.3218|947
2.8114277190792033e-06,Rome|GA|30164|34.3333|-85.2337|75049
2.8632512715046264e-06,Pickwick Dam|TN|38365|35.0383|-88.2256|16
2.9150748239300495e-06,Wallpack Center|NJ|07881|41.1256|-74.9177|16
2.9701373483820615e-06,Hiland|WY|82638|43.1153|-107.3436|17
3.0251998728340736e-06,Riparius|NY|12862|43.6754|-73.9325|17
3.0802623972860856e-06,Ellenburg|NY|12933|44.882|-73.9633|17
3.1353249217380977e-06,Zarephath|NJ|08890|40.5361|-74.5789|17
3.1903874461901097e-06,Uniondale|NY|11556|40.7548|-73.6018|26051
3.245449970642122e-06,Colorado Springs|CO|80938|38.9047|-104.6634|525713
3.300512495094134e-06,Amboy|CA|92304|34.599|-115.7749|17
3.355575019546146e-06,Lake Minchumina|AK|99757|65.2264|-151.0251|17
3.413876516024747e-06,Sun Valley|ID|83354|43.5946|-114.3226|1353
3.472178012503348e-06,Crocheron|MD|21627|38.2426|-76.0531|18
3.530479508981949e-06,Davilla|TX|76523|30.7824|-97.298|18
3.58878100546055e-06,Stony Ridge|OH|43463|41.5091|-83.5085|18
3.647082501939151e-06,Tiptonville|TN|38079|36.3846|-89.4649|5577
3.705383998417752e-06,Nikolski|AK|99638|52.9883|-168.7884|18
3.766924466922942e-06,Dinosaur|CO|81633|40.377|-108.399|465
3.828464935428131e-06,Great Bend|NY|13643|44.0147|-75.7284|19
3.890005403933321e-06,Garita|NM|88421|35.3502|-104.4419|19
3.951545872438511e-06,Pine Bluffs|WY|82082|41.1788|-104.0666|1606
4.013086340943701e-06,Sargent|GA|30275|33.4298|-84.8744|19
4.07786578147548e-06,Rousseau|KY|41366|37.5946|-83.2187|20
4.142645222007259e-06,Averill|VT|05901|44.6808|-71.7194|20
4.207424662539038e-06,Aspen|CO|81612|39.2234|-106.8828|9941
4.272204103070817e-06,Theodore|AL|36590|30.488|-88.2533|24644
4.336983543602596e-06,Fairbanks|AK|99790|64.8561|-146.276|63999
4.4017629841343745e-06,Macatawa|MI|49434|42.7697|-86.2055|20
4.466542424666153e-06,Lowry|VA|24570|37.3484|-79.4271|20
4.531321865197932e-06,Mexican Hat|UT|84531|37.1184|-109.9919|642
4.596101305729711e-06,Natrona|WY|82646|42.9662|-106.807|20
4.66088074626149e-06,Bristow|NE|68719|42.9484|-98.5721|146
4.725660186793269e-06,Mohler|WA|99154|47.3897|-118.3659|20
4.793678599351637e-06,Eden|AZ|85535|32.9751|-109.8974|21
4.861697011910005e-06,Warnock|OH|43967|40.02|-80.9169|21
4.929715424468372e-06,Fontana Dam|NC|28733|35.4231|-83.7795|21
4.99773383702674e-06,Chippewa Lake|MI|49320|43.7553|-85.2783|21
5.065752249585108e-06,Richwood|MN|56577|46.934|-95.6784|21
5.133770662143476e-06,Purdum|NE|69157|41.9123|-99.9771|21
5.201789074701844e-06,Plevna|MO|63464|39.9765|-92.0852|21
5.2698074872602116e-06,Arden|NY|10910|41.3862|-74.1257|21
5.337825899818579e-06,Walcott|WY|82335|41.7169|-106.9992|21
5.405844312376947e-06,Glentana|MT|59240|48.3302|-106.6097|21
5.473862724935315e-06,Hathaway|MT|59333|46.018|-106.992|21
5.541881137493683e-06,Ibapah|UT|84034|40.49|-113.0959|209
5.61313852207864e-06,Allred|TN|38542|36.324|-85.2031|22
5.6843959066635964e-06,Perry Park|KY|40363|38.5218|-85.0139|22
5.755653291248553e-06,Pillsbury|ND|58065|47.1862|-97.7605|22
5.830149647860099e-06,Starkville|MS|39760|33.4599|-88.8322|42131
5.904646004471645e-06,Huntsville|TX|77342|30.7813|-95.5953|63510
5.97914236108319e-06,Oak Island|MN|56741|49.3135|-94.8492|23
6.053638717694736e-06,Limekiln|PA|19535|40.3356|-75.801|23
6.128135074306282e-06,Hillside|CO|81232|38.2855|-105.6425|23
6.2026314309178275e-06,Dryden|TX|78851|30.2186|-102.1066|23
6.277127787529373e-06,Watauga|SD|57660|45.9276|-101.5129|99
6.351624144140919e-06,Absaraka|ND|58002|46.9763|-97.4069|23
6.426120500752465e-06,Buford|WY|82052|41.1101|-105.3257|23
6.50061685736401e-06,Norwood|VA|24581|37.6408|-78.8038|23
6.575113213975556e-06,Afton|WI|53501|42.6055|-89.0704|23
6.649609570587102e-06,Armbrust|PA|15616|40.3602|-79.4398|23
6.7241059271986476e-06,Lost Springs|WY|82224|43.0421|-104.7973|23
6.798602283810193e-06,Stratford|WA|98853|47.4043|-119.313|23
6.873098640421739e-06,Mc Intosh|SD|57641|45.7084|-101.1546|295
6.947594997033285e-06,Flagstaff|AZ|86003|35.6308|-112.0524|84499
7.0220913536448305e-06,Pinecliffe|CO|80471|39.9474|-105.4593|23
7.096587710256376e-06,Loachapoka|AL|36865|32.5782|-85.349|23
7.171084066867922e-06,Mehama|OR|97384|44.7903|-122.6187|23
7.245580423479468e-06,Notrees|TX|79759|31.8599|-102.7413|23
7.323315752117602e-06,Banks|ID|83602|44.0887|-116.0658|24
7.401051080755737e-06,Clear|AK|99704|64.2966|-149.1608|24
7.478786409393872e-06,Rampart|AK|99767|65.509|-150.1619|24
7.556521738032006e-06,Gilbert|AR|72636|35.9167|-92.6814|24
7.634257066670141e-06,Sand Creek|WI|54765|45.1429|-91.6998|24
7.711992395308276e-06,Flom|MN|56541|47.1588|-96.1309|24
7.792966695972998e-06,Oak Hill|AL|36766|31.947|-87.0745|25
7.873940996637721e-06,Chandlers Valley|PA|16312|41.9358|-79.3097|25
7.954915297302444e-06,Rockland|DE|19732|39.7939|-75.5738|25
8.035889597967167e-06,Red Devil|AK|99656|60.3147|-163.1189|25
8.11686389863189e-06,Almo|ID|83312|42.0846|-113.6283|168
8.197838199296612e-06,De Young|PA|16728|41.4159|-78.6651|25
8.278812499961335e-06,Mount Sterling|IA|52573|40.6458|-91.9027|162
8.359786800626058e-06,Middle Bass|OH|43446|41.6835|-82.8047|25
8.44076110129078e-06,East Winthrop|ME|04343|44.4141|-69.7519|25
8.521735401955503e-06,Winona|OH|44493|40.8286|-80.8967|25
8.602709702620226e-06,Kings Canyon National Pk|CA|93633|36.7341|-118.9588|25
8.683684003284949e-06,East Middlebury|VT|05740|43.9715|-73.0914|25
8.764658303949671e-06,Cuervo|NM|88417|35.0101|-104.3999|25
8.848871576640984e-06,Bloomburg|TX|75556|33.1339|-94.0647|1133
8.933084849332297e-06,East Orleans|MA|02643|41.7843|-69.962|26
9.017298122023609e-06,Modena|UT|84753|37.7995|-113.9193|26
9.101511394714922e-06,Oakland|TX|78951|29.6047|-96.5249|26
9.185724667406234e-06,Mesa Verde National Park|CO|81330|37.2313|-108.4825|26
9.269937940097547e-06,Willow Island|NE|69171|40.8925|-100.0703|26
9.35415121278886e-06,Holly Ridge|MS|38749|33.6287|-90.6075|26
9.438364485480172e-06,Schwertner|TX|76573|30.8055|-97.4705|26
9.522577758171484e-06,Atomic City|ID|83215|43.2448|-112.2979|26
9.606791030862797e-06,Orlando|FL|32830|28.3822|-81.569|878243
9.69100430355411e-06,Schooleys Mountain|NJ|07870|40.8104|-74.8193|26
9.77845654827201e-06,Mills|NM|87730|36.1281|-104.2277|27
9.865908792989911e-06,Lees Summit|MO|64065|38.9529|-94.4058|96149
9.953361037707812e-06,Jessie|ND|58452|47.4565|-98.2304|27
1.0040813282425712e-05,Mobile|AL|36616|30.671|-88.1267|270712
1.0128265527143613e-05,Counce|TN|38326|35.0394|-88.2936|2560
1.0215717771861513e-05,Thousand Island Park|NY|13692|44.2898|-76.0262|27
1.0303170016579414e-05,Sunland Park|NM|88063|31.8186|-106.5997|12799
1.0390622261297315e-05,Norden|CA|95724|39.2966|-120.4317|27
1.0481313478041805e-05,Ingomar|MT|59039|46.6542|-107.5517|28
1.0572004694786296e-05,North Rim|AZ|86052|36.3473|-112.119|28
1.0662695911530786e-05,Summerfield|KS|66541|39.9798|-96.3279|264
1.0753387128275277e-05,Saltese|MT|59867|47.3997|-115.4224|28
1.0844078345019767e-05,Crater Lake|OR|97604|42.9465|-122.1769|28
1.0934769561764257e-05,Coy|AR|72037|34.5412|-91.8758|28
1.1025460778508748e-05,Van Hornesville|NY|13475|42.8935|-74.8367|28
1.1116151995253238e-05,Rosine|KY|42370|37.449|-86.7389|28
1.1210082184024317e-05,Alpine|TX|79831|30.3068|-103.6704|7711
1.1304012372795395e-05,Ira|IA|50127|41.7771|-93.2058|29
1.1397942561566474e-05,Watertown|OH|45787|39.4307|-81.4451|29
1.1491872750337552e-05,Coal Run|OH|45721|39.4307|-81.4451|29
1.1585802939108631e-05,Jelm|WY|82063|41.0539|-106.0763|100
1.167973312787971e-05,Leiter|WY|82837|44.7832|-106.2806|29
1.1773663316650788e-05,Selbyville|WV|26236|38.8993|-80.2269|29
1.1867593505421867e-05,Hay|WA|99136|46.6973|-117.9417|29
1.1961523694192945e-05,Bridgeport|OR|97819|44.4931|-117.7655|29
1.2055453882964024e-05,Dycusburg|KY|42037|37.1579|-88.1836|29
1.2149384071735102e-05,Ralph|SD|57650|45.8554|-103.0356|29
1.224331426050618e-05,Kerrick|TX|79051|36.5663|-102.3438|29
1.233724444927726e-05,Linch|WY|82640|43.5651|-106.1728|29
1.2431174638048338e-05,Ruidoso|NM|88355|33.3305|-105.6933|8874
1.2525104826819416e-05,Paoli|CO|80746|40.6106|-102.4722|29
1.2622273987617085e-05,Pahrump|NV|89060|36.2645|-116.0393|36648
1.2719443148414753e-05,Bettles Field|AK|99726|65.2264|-151.0251|30
1.2816612309212421e-05,Cherry Fork|OH|45618|38.8922|-83.6218|30
1.291378147001009e-05,Pep|NM|88126|33.8054|-103.2881|30
1.3010950630807758e-05,Mc Donald|NM|88262|32.7854|-103.4338|30
1.3108119791605426e-05,Newcastle|WY|82701|43.8511|-104.2262|5455
1.3208527924429683e-05,Dyer|NV|89010|37.7776|-118.084|415
1.330893605725394e-05,Angela|MT|59312|46.018|-106.992|31
1.3409344190078196e-05,Picher|OK|74360|36.98|-94.8173|31
1.3509752322902452e-05,Loretto|VA|22509|38.0789|-77.0485|31
1.3610160455726708e-05,Brainard|NY|12024|42.495|-73.5107|31
1.3710568588550965e-05,Wolf Run|OH|43970|40.4695|-80.8892|31
1.3810976721375221e-05,Severance|NY|12872|44.1457|-73.8152|31
1.3911384854199478e-05,Cynthiana|OH|45624|39.1638|-83.3429|31
1.4011792987023734e-05,Wild Horse|CO|80862|38.8041|-103.0798|31
1.411220111984799e-05,Meyers Chuck|AK|99903|55.5179|-132.0032|31
1.4212609252672247e-05,Hematite|MO|63047|38.1941|-90.4725|31
1.4313017385496503e-05,Slater|CO|81653|40.9979|-107.3388|31
1.441666449034735e-05,Yankton|SD|57078|42.8821|-97.3986|19121
1.4520311595198196e-05,Lakeland|MI|48143|42.4573|-83.8366|32
1.4623958700049042e-05,Yorklyn|DE|19736|39.7971|-75.6604|32
1.4727605804899888e-05,Stafford|OH|43786|39.7112|-81.2758|32
1.4831252909750735e-05,Wilton|AL|35187|33.081|-86.8793|32
1.493490001460158e-05,Glencross|SD|57630|45.0987|-100.8792|32
1.5038547119452427e-05,Jersey Mills|PA|17739|41.3328|-77.0236|32
1.5142194224303273e-05,Shoup|ID|83469|45.1851|-114.406|32
1.5249080301180708e-05,Lothair|MT|59461|48.6091|-111.7319|33
1.5355966378058144e-05,Artesia Wells|TX|78001|28.2639|-99.2802|33
1.5462852454935578e-05,Olney|MO|63370|39.0776|-91.2317|33
1.5569738531813012e-05,Jasper|OH|45642|39.0523|-83.05|33
1.5676624608690446e-05,Orkney Springs|VA|22845|38.7937|-78.8111|33
1.578351068556788e-05,Sanders|MT|59076|46.1763|-107.3388|33
1.5890396762445315e-05,Wesco|MO|65586|37.8585|-91.4267|33
1.599728283932275e-05,Blakely Island|WA|98222|48.5618|-122.812|33
1.6104168916200184e-05,Warren|ID|83671|45.8893|-115.5574|33
1.6211054993077618e-05,Birmingham|NJ|08011|39.976|-74.7114|33
1.6317941069955052e-05,Falkland|NC|27827|35.6966|-77.5132|33
1.6424827146832487e-05,Hill City|ID|83337|43.3277|-114.8017|33
1.653171322370992e-05,Avon|MS|38723|33.219|-91.0479|33
1.6638599300587355e-05,Lakeshore|CA|93634|37.1673|-119.2436|33
1.674548537746479e-05,Orla|TX|79770|31.864|-103.9297|33
1.6852371454342224e-05,Herrick Center|PA|18430|41.7643|-75.5044|33
1.6959257531219658e-05,Pulaski|GA|30451|32.4143|-82.0867|33
1.706938258012368e-05,Kingston|UT|84743|38.2158|-112.2049|34
1.7179507629027703e-05,Lane|SD|57358|44.0696|-98.4252|34
1.7289632677931726e-05,Zanoni|MO|65784|36.6516|-92.4423|34
1.7399757726835748e-05,Carbon|IA|50839|41.0487|-94.8231|34
1.750988277573977e-05,Camp Crook|SD|57724|45.6402|-104.0278|210
1.7620007824643793e-05,Jersey Shore|PA|17723|41.432|-77.4562|12788
1.7730132873547815e-05,Byron|NE|68325|40.0269|-97.7612|232
1.7840257922451838e-05,Gray Hawk|KY|40434|37.3955|-83.9085|34
1.795038297135586e-05,Holy Trinity|AL|36859|32.2298|-85.0082|34
1.8060508020259882e-05,Whelen Springs|AR|71772|33.8325|-93.1238|34
1.8173872041190496e-05,Money|MS|38945|33.6507|-90.1969|35
1.828723606212111e-05,Jachin|AL|36910|32.0042|-88.2007|35
1.8400600083051724e-05,Star Lake|WI|54561|46.0613|-89.4858|35
1.8513964103982338e-05,Minerva|KY|41062|38.7196|-83.9103|35
1.8627328124912952e-05,Otter|MT|59062|45.0903|-106.1499|35
1.8740692145843566e-05,Crossroads|NM|88114|33.5272|-103.3564|35
1.885405616677418e-05,Scottville|NC|28672|36.4833|-81.3276|35
1.8967420187704794e-05,Wolf|WY|82844|44.7864|-107.2202|35
1.9080784208635408e-05,Bend|TX|76824|31.1123|-98.4821|35
1.919414822956602e-05,Millerville|AL|36267|33.1808|-85.9418|35
1.9307512250496635e-05,Evanston|WY|82930|41.2609|-110.9631|14614
1.942087627142725e-05,Thompsons|TX|77481|29.4683|-95.5776|35
1.9534240292357863e-05,Bantry|ND|58713|48.5351|-100.5954|35
1.9647604313288477e-05,False Pass|AK|99583|54.841|-163.4368|35
1.976096833421909e-05,Scuddy|KY|41760|37.1971|-83.0817|35
1.9877571327176293e-05,Arnold|MI|49819|46.6041|-87.6148|36
1.9994174320133495e-05,Sabael|NY|12864|43.6676|-74.4569|36
2.0110777313090697e-05,Stockville|NE|69042|40.4948|-100.3849|36
2.02273803060479e-05,Mill Creek|CA|96061|40.3439|-121.5035|36
2.03439832990051e-05,Keeseville|NY|12911|44.5281|-73.4719|4274
2.0460586291962303e-05,Pruden|TN|37851|36.5579|-83.8139|36
2.0577189284919505e-05,Shaniko|OR|97057|45.0027|-120.75|36
2.0693792277876707e-05,Rivervale|AR|72377|35.675|-90.3469|36
2.081039527083391e-05,Mc Laughlin|SD|57642|45.8763|-100.8915|1917
2.092699826379111e-05,Smithville|IN|47458|39.1732|-86.5015|36
2.1043601256748313e-05,Pontiac|MO|65729|36.5248|-92.5612|264
2.1160204249705515e-05,Versailles|NY|14168|42.5093|-78.9995|36
2.1276807242662717e-05,Winnemucca|NV|89446|41.0764|-117.7602|16150
2.139341023561992e-05,Shoshone|CA|92384|35.8992|-116.2645|36
2.151001322857712e-05,Butterfield|MO|65623|36.749|-93.9064|36
2.1626616221534323e-05,Tererro|NM|87573|35.7727|-105.6713|36
2.1743219214491525e-05,Riverside|MI|49084|42.178|-86.3856|36
2.1863061179475315e-05,Acme|LA|71316|31.3016|-91.8216|37
2.1982903144459105e-05,Redrock|NM|88055|32.5367|-108.3279|37
2.2102745109442895e-05,Jacksonville|NY|14854|42.5063|-76.6082|37
2.2222587074426685e-05,Wyarno|WY|82845|44.7534|-106.6949|37
2.2342429039410475e-05,Gregory|AR|72059|35.1791|-91.2594|37
2.2462271004394265e-05,Hopeton|OK|73746|36.6887|-98.6464|37
2.2582112969378055e-05,Echo Lake|CA|95721|38.8152|-120.0721|37
2.2701954934361846e-05,Mozier|IL|62070|39.1343|-90.6938|37
2.2821796899345636e-05,Oakville|TX|78060|28.4218|-98.0719|37
2.2941638864329426e-05,Armstrong|TX|78338|26.8698|-97.7698|37
2.3061480829313216e-05,Eola|TX|76937|31.3617|-100.0922|37
2.3181322794297006e-05,Kleinfeltersville|PA|17039|40.3005|-76.2584|37
2.3301164759280796e-05,North Waterford|ME|04267|44.5662|-70.6616|37
2.3421006724264586e-05,Childs|MD|21916|39.5415|-76|37
2.3540848689248376e-05,Mcgrew|NE|69353|41.7469|-103.4164|37
2.3660690654232166e-05,Elmaton|TX|77440|28.876|-96.1434|37
2.3783771591242544e-05,Zurich|MT|59547|48.3605|-108.8939|38
2.3906852528252923e-05,Walnut Grove|AL|35990|34.0566|-86.2754|38
2.40299334652633e-05,Colcord|WV|25048|37.9439|-81.4369|38
2.415301440227368e-05,Brothers|OR|97712|43.7789|-120.477|38
2.4276095339284057e-05,Grandy|MN|55029|45.6422|-93.2011|38
2.4399176276294435e-05,Levasy|MO|64066|39.1292|-94.1337|38
2.4522257213304814e-05,Natural Bridge|AL|35577|34.0934|-87.6008|38
2.4645338150315192e-05,Swan Lake|MS|38958|33.9292|-90.1885|38
2.476841908732557e-05,Bates|OR|97817|44.7138|-118.6469|38
2.4891500024335948e-05,Bagdad|FL|32530|30.5986|-87.0315|38
2.5014580961346326e-05,Ragan|NE|68969|40.1765|-99.4049|38
2.5137661898356705e-05,Sharon|GA|30664|33.56|-82.7948|38
2.5263981807393674e-05,Capulin|NM|88414|36.7785|-103.9986|39
2.5390301716430644e-05,Lairdsville|PA|17742|41.2359|-76.605|39
2.5516621625467614e-05,Maljamar|NM|88264|32.8423|-103.7234|39
2.5642941534504583e-05,West Nottingham|NH|03291|43.1823|-71.1396|39
2.5769261443541553e-05,Middleburg|OH|43336|40.2948|-83.5773|39
2.5895581352578523e-05,Horse Creek|WY|82061|41.4353|-105.1417|39
2.6021901261615492e-05,Van Tassell|WY|82242|42.7033|-104.1408|39
2.6148221170652462e-05,Buckingham|PA|18912|40.3099|-75.0743|39
2.627454107968943e-05,Whitlash|MT|59545|48.911|-111.1075|39
2.64008609887264e-05,Lukeville|AZ|85341|31.8737|-112.7845|39
2.652718089776337e-05,Allamuchy|NJ|07820|40.8696|-74.8497|39
2.665350080680034e-05,Springdale|MT|59082|45.3333|-110.4774|39
2.67830596878639e-05,Cache Junction|UT|84304|41.8169|-111.9982|40
2.6912618568927456e-05,Kanaranzi|MN|56146|43.6749|-96.2528|40
2.7042177449991014e-05,Whitetail|MT|59276|48.8956|-105.1617|40
2.7171736331054572e-05,Cantril|IA|52542|40.6546|-92.0465|435
2.730129521211813e-05,Fieldton|TX|79326|34.053|-102.206|40
2.7430854093181687e-05,Marathon|OH|45145|39.1453|-84.0052|40
2.7560412974245245e-05,Popejoy|IA|50227|42.5974|-93.4279|40
2.7689971855308803e-05,Mondamin|IA|51557|41.7089|-96.0072|873
2.781953073637236e-05,Fulda|IN|47536|37.9938|-87.017|40
2.794908961743592e-05,Brandeis|CA|93064|34.2582|-118.7107|40
2.8081887470526064e-05,Blue|AZ|85922|33.6512|-109.0685|41
2.821468532361621e-05,Atlanta|ID|83601|43.8479|-115.2538|41
2.8347483176706356e-05,Montchanin|DE|19710|39.7578|-75.6391|41
2.8480281029796502e-05,Greenville|MS|38704|33.2534|-90.9185|38797
2.8613078882886648e-05,Valley Springs|SD|57068|43.5773|-96.4956|1512
2.8745876735976794e-05,Doole|TX|76836|31.2172|-99.3472|41
2.887867458906694e-05,Brownsburg|VA|24415|37.9265|-79.3292|41
2.9011472442157085e-05,Willard|MT|59354|46.1141|-104.4467|41
2.914427029524723e-05,Lorton|NE|68382|40.5973|-96.0241|41
2.9277068148337377e-05,Dahlen|ND|58224|48.1599|-97.9573|41
2.9409866001427523e-05,Bethlehem|IN|47104|38.5399|-85.4218|41
2.954266385451767e-05,Rombauer|MO|63962|36.7125|-90.407|41
2.9675461707607815e-05,Yantic|CT|06389|41.5596|-72.1227|41
2.981149853272455e-05,Old Zionsville|PA|18068|40.6934|-75.4712|42
2.9947535357841283e-05,Kasbeer|IL|61328|41.3669|-89.5131|42
3.0083572182958017e-05,Jarbidge|NV|89826|41.8873|-115.3813|42
3.021960900807475e-05,Hinckley|ME|04944|44.6847|-69.6425|42
