SalesId,Date,RouteId,AirlineId,BookingsBusinessClass,UnitPriceBusinessClass(dollars),BookingsPremiumEconomyClass,UnitPricePremiumEconomyClass(dollars),BookingsEconomyClass,UnitPriceEconomyClass(dollars),Total
sales030,03-02-2020,r016,G4,1,1906.16,33,1899.16,44,1897.16,148053.48
sales031,04-02-2020,r009,WN,2,242,36,235,20,233,13604
sales031,04-02-2020,r022,UA,21,932,8,925,43,923,66661
sales031,04-02-2020,r018,WN,1,469.52,18,462.52,34,460.52,24452.56
sales031,04-02-2020,r023,WN,1,590.16,25,583.16,18,581.16,25630.04
sales032,05-02-2020,r003,AA,7,162.8,24,155.8,38,153.8,10723.2
sales032,05-02-2020,r002,AA,2,187.44,44,180.44,7,178.44,9563.32
sales032,05-02-2020,r019,UA,10,1007.6,14,1000.6,30,998.6,54042.4
sales032,05-02-2020,r023,WN,1,590.16,32,583.16,37,581.16,40754.2
sales033,06-02-2020,r017,AA,5,1678.48,32,1671.48,26,1669.48,105286.24
sales033,06-02-2020,r024,AA,4,677.04,9,670.04,44,668.04,38132.28
sales033,06-02-2020,r016,AA,4,1906.16,46,1899.16,9,1897.16,112060.44
sales033,06-02-2020,r017,UA,17,1678.48,8,1671.48,36,1669.48,102007.28
sales034,07-02-2020,r001,UA,8,631.28,35,624.28,41,622.28,52413.52
sales034,07-02-2020,r007,AA,7,58.8,34,51.8,28,49.8,3567.2
sales034,07-02-2020,r006,G4,1,677.04,43,670.04,23,668.04,44853.68
sales034,07-02-2020,r005,UA,5,1534,47,1527,24,1525,116039
sales035,08-02-2020,r011,WN,1,176.4,23,169.4,18,167.4,7085.8
sales035,08-02-2020,r011,G4,1,176.4,24,169.4,26,167.4,8594.4
sales035,08-02-2020,r004,WN,1,932,40,925,15,923,51777
sales035,08-02-2020,r001,UA,28,631.28,32,624.28,7,622.28,42008.76
sales036,09-02-2020,r024,G4,1,932,49,925,29,923,73024
sales036,09-02-2020,r017,WN,1,1678.48,32,1671.48,17,1669.48,83547
sales036,09-02-2020,r016,G4,1,1906.16,14,1899.16,6,1897.16,39877.36
sales036,09-02-2020,r011,WN,1,176.4,20,169.4,25,167.4,7749.4
sales037,10-02-2020,r017,G4,1,1678.48,24,1671.48,45,1669.48,116920.6
sales037,10-02-2020,r013,WN,1,108.08,13,101.08,8,99.08,2214.76
sales037,10-02-2020,r001,G4,1,368.56,5,361.56,36,359.56,15120.52
sales037,10-02-2020,r024,WN,1,631.28,21,624.28,46,622.28,42366.04
sales038,11-02-2020,r013,UA,16,108.08,20,101.08,36,99.08,7317.76
sales038,11-02-2020,r007,G4,1,58.8,20,51.8,22,49.8,2190.4
sales038,11-02-2020,r019,UA,6,1007.6,38,1000.6,13,998.6,57050.2
sales038,11-02-2020,r005,UA,12,1534,39,1527,45,1525,146586
sales039,12-02-2020,r020,WN,1,368.56,32,361.56,7,359.56,14455.4
sales039,12-02-2020,r002,AA,8,187.44,20,180.44,127,178.44,27770.2
sales039,12-02-2020,r013,AA,4,108.08,31,101.08,15,99.08,5052
sales039,12-02-2020,r003,G4,1,631.28,46,624.28,26,622.28,45527.44
sales040,13-02-2020,r014,G4,1,302.32,19,295.32,30,293.32,14713
sales040,13-02-2020,r011,AA,3,176.4,38,169.4,32,167.4,12323.2
sales040,13-02-2020,r016,AA,6,1906.16,4,1899.16,29,1897.16,74051.24
sales040,13-02-2020,r016,G4,1,1906.16,33,1899.16,44,1897.16,148053.48
sales041,14-02-2020,r024,AA,4,677.04,30,670.04,34,668.04,45522.72
sales041,14-02-2020,r013,WN,1,108.08,7,101.08,23,99.08,3094.48
sales041,14-02-2020,r006,WN,1,1534,30,1527,46,1525,117494
sales041,14-02-2020,r015,AA,2,1589.68,21,1582.68,46,1580.68,109126.92
sales042,15-02-2020,r021,WN,1,900.72,36,893.72,21,891.72,51800.76
sales042,15-02-2020,r007,UA,2,58.8,47,51.8,41,49.8,4594
sales042,15-02-2020,r023,AA,2,1687.92,29,1680.92,13,1678.92,73948.48
sales042,15-02-2020,r009,UA,12,242,16,235,32,233,14120
sales043,16-02-2020,r013,AA,3,108.08,46,101.08,19,99.08,6856.44
sales043,16-02-2020,r006,G4,1,677.04,43,670.04,23,668.04,44853.68
sales043,16-02-2020,r001,UA,10,631.28,6,624.28,6,622.28,13792.16
sales043,16-02-2020,r023,G4,1,590.16,36,583.16,38,581.16,43668
sales044,17-02-2020,r010,UA,7,613.52,19,606.52,127,604.52,92592.56
sales044,17-02-2020,r009,AA,1,242,48,235,42,233,21308
sales044,17-02-2020,r007,WN,2,58.8,49,51.8,23,49.8,3801.2
sales044,17-02-2020,r023,UA,10,162.8,42,155.8,17,153.8,10786.2
sales045,18-02-2020,r006,UA,7,677.04,20,670.04,125,668.04,101645.08
sales045,18-02-2020,r008,WN,7,124.08,19,117.08,128,115.08,17823.32
sales045,18-02-2020,r010,WN,1,613.52,34,606.52,9,604.52,26675.88
sales045,18-02-2020,r017,WN,1,1678.48,11,1671.48,27,1669.48,65140.72
sales046,19-02-2020,r001,G4,1,368.56,32,361.56,12,359.56,16253.2
sales046,19-02-2020,r011,UA,6,176.4,33,169.4,39,167.4,13177.2
sales046,19-02-2020,r003,WN,1,590.16,2,583.16,14,581.16,9892.72
sales046,19-02-2020,r021,UA,5,590.16,7,583.16,13,581.16,14588
sales047,20-02-2020,r004,WN,1,932,13,925,39,923,48954
sales047,20-02-2020,r015,G4,1,1589.68,28,1582.68,30,1580.68,93325.12
sales047,20-02-2020,r019,G4,1,1007.6,8,1000.6,10,998.6,18998.4
sales047,20-02-2020,r023,G4,1,590.16,12,583.16,14,581.16,15724.32
sales048,21-02-2020,r013,AA,4,108.08,31,101.08,15,99.08,5052
sales048,21-02-2020,r008,AA,6,124.08,26,117.08,31,115.08,7356.04
sales048,21-02-2020,r019,AA,5,368.56,40,361.56,13,359.56,20979.48
sales048,21-02-2020,r013,WN,1,108.08,34,101.08,39,99.08,7408.92
sales049,22-02-2020,r003,G4,1,631.28,43,624.28,35,622.28,49255.12
sales049,22-02-2020,r014,AA,6,302.32,32,295.32,36,293.32,21823.68
sales049,22-02-2020,r013,UA,20,108.08,47,101.08,12,99.08,8101.32
sales049,22-02-2020,r021,WN,1,900.72,42,893.72,7,891.72,44679
sales050,23-02-2020,r018,WN,1,469.52,42,462.52,17,460.52,27724.2
sales050,23-02-2020,r001,UA,25,631.28,16,624.28,44,622.28,53150.8
sales050,23-02-2020,r017,UA,20,1678.48,24,1671.48,40,1669.48,140464.32
sales050,23-02-2020,r019,UA,7,1007.6,49,1000.6,26,998.6,82046.2
sales051,24-02-2020,r019,WN,1,1007.6,31,1000.6,26,998.6,57989.8
sales051,24-02-2020,r001,G4,1,368.56,26,361.56,28,359.56,19836.8
sales051,24-02-2020,r019,UA,10,1007.6,14,1000.6,30,998.6,54042.4
sales051,24-02-2020,r004,G4,1,187.44,21,180.44,32,178.44,9686.76
sales052,25-02-2020,r011,WN,1,176.4,50,169.4,34,167.4,14338
sales052,25-02-2020,r015,WN,1,1589.68,24,1582.68,29,1580.68,85413.72
sales052,25-02-2020,r023,G4,1,590.16,18,583.16,39,581.16,33752.28
sales052,25-02-2020,r008,WN,1,124.08,5,117.08,30,115.08,4161.88
sales053,26-02-2020,r001,WN,1,1007.6,46,1000.6,11,998.6,58019.8
sales053,26-02-2020,r021,WN,1,900.72,21,893.72,16,891.72,33936.36
sales053,26-02-2020,r009,G4,1,242,13,235,44,233,13549
sales053,26-02-2020,r005,UA,22,1534,9,1527,44,1525,114591
sales054,27-02-2020,r015,WN,1,1589.68,48,1582.68,13,1580.68,98107.16
sales054,27-02-2020,r021,WN,1,900.72,18,893.72,23,891.72,37497.24
sales054,27-02-2020,r015,UA,11,1589.68,13,1582.68,19,1580.68,68094.24
sales054,27-02-2020,r019,WN,1,1007.6,46,1000.6,31,998.6,77991.8
sales055,28-02-2020,r004,UA,7,1687.92,3,1680.92,44,1678.92,90730.68
sales055,28-02-2020,r011,WN,1,176.4,26,169.4,10,167.4,6254.8
sales055,28-02-2020,r021,AA,1,631.28,39,624.28,23,622.28,39290.64
sales055,28-02-2020,r011,G4,1,176.4,3,169.4,34,167.4,6376.2
sales056,29-02-2020,r001,AA,1,932,13,925,17,923,28648
sales056,29-02-2020,r023,WN,1,590.16,49,583.16,10,581.16,34976.6
sales056,29-02-2020,r003,WN,1,590.16,2,583.16,14,581.16,9892.72
sales056,29-02-2020,r011,UA,6,176.4,33,169.4,39,167.4,13177.2
sales057,01-03-2020,r008,G4,8,124.08,20,117.08,128,115.08,18064.48
sales057,01-03-2020,r008,WN,1,124.08,50,117.08,45,115.08,11156.68
sales057,01-03-2020,r016,G4,1,1906.16,33,1899.16,44,1897.16,148053.48
sales057,01-03-2020,r023,AA,2,1687.92,29,1680.92,13,1678.92,73948.48
sales058,02-03-2020,r022,WN,7,642.96,20,635.96,125,633.96,96464.92
sales058,02-03-2020,r003,WN,1,590.16,9,583.16,25,581.16,20367.6
sales058,02-03-2020,r024,WN,1,631.28,9,624.28,35,622.28,28029.6
sales058,02-03-2020,r024,G4,1,932,25,925,46,923,66515
sales059,03-03-2020,r012,UA,3,780.24,34,773.24,28,771.24,50225.6
sales059,03-03-2020,r001,WN,1,1007.6,22,1000.6,27,998.6,49983
sales059,03-03-2020,r002,AA,2,187.44,50,180.44,34,178.44,15463.84
sales059,03-03-2020,r021,WN,2,900.72,27,893.72,41,891.72,62492.4
sales060,04-03-2020,r002,UA,25,187.44,12,180.44,6,178.44,7921.92
sales060,04-03-2020,r019,WN,1,1007.6,21,1000.6,14,998.6,36000.6
sales060,04-03-2020,r003,WN,1,590.16,36,583.16,41,581.16,45411.48
sales060,04-03-2020,r023,UA,7,162.8,26,155.8,13,153.8,7189.8
sales061,05-03-2020,r021,WN,1,900.72,18,893.72,23,891.72,37497.24
sales061,05-03-2020,r005,UA,12,1534,39,1527,45,1525,146586
sales061,05-03-2020,r015,G4,8,1589.68,20,1582.68,128,1580.68,246698.08
sales061,05-03-2020,r015,WN,1,1589.68,42,1582.68,27,1580.68,110740.6
sales062,06-03-2020,r008,WN,7,124.08,19,117.08,128,115.08,17823.32
sales062,06-03-2020,r001,UA,8,631.28,35,624.28,41,622.28,52413.52
sales062,06-03-2020,r017,WN,1,1678.48,4,1671.48,16,1669.48,35076.08
sales062,06-03-2020,r014,G4,1,302.32,51,295.32,31,293.32,24456.56
sales063,07-03-2020,r021,AA,4,631.28,15,624.28,40,622.28,36780.52
sales063,07-03-2020,r019,WN,1,1007.6,22,1000.6,7,998.6,30011
sales063,07-03-2020,r005,UA,8,1534,12,1527,28,1525,73296
sales063,07-03-2020,r018,UA,5,469.52,29,462.52,29,460.52,29115.76
sales064,08-03-2020,r016,AA,4,1906.16,1,1899.16,36,1897.16,77821.56
sales064,08-03-2020,r023,G4,1,590.16,21,583.16,25,581.16,27365.52
sales064,08-03-2020,r009,UA,12,242,16,235,32,233,14120
sales064,08-03-2020,r003,WN,1,590.16,36,583.16,41,581.16,45411.48
sales065,09-03-2020,r017,G4,1,1678.48,45,1671.48,37,1669.48,138665.84
sales065,09-03-2020,r002,UA,25,187.44,12,180.44,6,178.44,7921.92
sales065,09-03-2020,r005,G4,1,1687.92,30,1680.92,32,1678.92,105840.96
sales065,09-03-2020,r013,UA,9,108.08,28,101.08,15,99.08,5289.16
sales066,10-03-2020,r007,UA,2,58.8,47,51.8,41,49.8,4594
sales066,10-03-2020,r021,WN,1,900.72,11,893.72,45,891.72,50859.04
sales066,10-03-2020,r009,WN,1,242,47,235,8,233,13151
sales066,10-03-2020,r009,UA,9,242,51,235,28,233,20687
sales067,11-03-2020,r003,WN,1,590.16,39,583.16,34,581.16,43092.84
sales067,11-03-2020,r011,AA,3,176.4,38,169.4,32,167.4,12323.2
sales067,11-03-2020,r021,WN,1,900.72,15,893.72,31,891.72,41949.84
sales067,11-03-2020,r003,WN,1,590.16,15,583.16,10,581.16,15149.16
sales068,12-03-2020,r003,WN,1,590.16,36,583.16,41,581.16,45411.48
sales068,12-03-2020,r016,WN,3,1906.16,40,1899.16,14,1897.16,108245.12
sales068,12-03-2020,r017,AA,5,1678.48,32,1671.48,26,1669.48,105286.24
sales068,12-03-2020,r006,AA,6,677.04,48,670.04,11,668.04,43572.6
sales069,13-03-2020,r008,G4,1,124.08,1,117.08,12,115.08,1622.12
sales069,13-03-2020,r005,WN,1,162.8,29,155.8,24,153.8,8372.2
sales069,13-03-2020,r010,G4,1,613.52,41,606.52,43,604.52,51475.2
sales069,13-03-2020,r008,AA,4,124.08,23,117.08,38,115.08,7562.2
sales070,14-03-2020,r016,G4,1,1906.16,9,1899.16,20,1897.16,56941.8
sales070,14-03-2020,r015,WN,1,1589.68,42,1582.68,27,1580.68,110740.6
sales070,14-03-2020,r003,WN,1,590.16,9,583.16,25,581.16,20367.6
sales070,14-03-2020,r008,UA,19,124.08,6,117.08,41,115.08,7778.28
sales071,15-03-2020,r017,G4,1,1678.48,48,1671.48,28,1669.48,128654.96
sales071,15-03-2020,r003,WN,1,590.16,2,583.16,14,581.16,9892.72
sales071,15-03-2020,r021,AA,5,631.28,30,624.28,44,622.28,49265.12
sales071,15-03-2020,r019,G4,1,1007.6,11,1000.6,42,998.6,53955.4
sales072,16-03-2020,r008,UA,19,124.08,6,117.08,41,115.08,7778.28
sales072,16-03-2020,r006,WN,1,1534,12,1527,7,1525,30533
sales072,16-03-2020,r015,WN,1,1589.68,48,1582.68,13,1580.68,98107.16
sales072,16-03-2020,r010,G4,1,613.52,20,606.52,12,604.52,19998.16
sales073,17-03-2020,r009,WN,1,242,23,235,16,233,9375
sales073,17-03-2020,r012,WN,2,780.24,33,773.24,17,771.24,40188.48
sales073,17-03-2020,r008,AA,2,124.08,11,117.08,25,115.08,4413.04
sales073,17-03-2020,r007,AA,2,58.8,37,51.8,21,49.8,3080
sales074,18-03-2020,r014,WN,1,302.32,26,295.32,40,293.32,19713.44
sales074,18-03-2020,r017,UA,20,1678.48,24,1671.48,40,1669.48,140464.32
sales074,18-03-2020,r016,UA,7,1906.16,20,1899.16,128,1897.16,294162.8
sales074,18-03-2020,r007,UA,2,58.8,29,51.8,35,49.8,3362.8
sales075,19-03-2020,r011,WN,1,176.4,38,169.4,23,167.4,10463.8
sales075,19-03-2020,r020,AA,8,642.96,50,635.96,13,633.96,45183.16
sales075,19-03-2020,r017,AA,1,1678.48,26,1671.48,40,1669.48,111916.16
sales075,19-03-2020,r023,AA,1,1687.92,44,1680.92,17,1678.92,104190.04
sales076,20-03-2020,r018,UA,2,469.52,28,462.52,22,460.52,24021.04
sales076,20-03-2020,r009,WN,1,242,23,235,16,233,9375
sales076,20-03-2020,r017,WN,1,1678.48,7,1671.48,41,1669.48,81827.52
sales076,20-03-2020,r009,WN,1,242,30,235,35,233,15447
sales077,21-03-2020,r019,UA,14,1007.6,41,1000.6,6,998.6,61122.6
sales077,21-03-2020,r001,WN,1,1007.6,15,1000.6,8,998.6,24005.4
sales077,21-03-2020,r015,UA,8,1589.68,32,1582.68,32,1580.68,113944.96
sales077,21-03-2020,r014,AA,6,302.32,32,295.32,36,293.32,21823.68
sales078,22-03-2020,r022,AA,4,187.44,16,180.44,20,178.44,7205.6
sales078,22-03-2020,r015,UA,10,1589.68,37,1582.68,43,1580.68,142425.2
sales078,22-03-2020,r003,AA,7,162.8,3,155.8,7,153.8,2683.6
sales078,22-03-2020,r023,G4,1,590.16,12,583.16,14,581.16,15724.32
sales079,23-03-2020,r023,AA,3,1687.92,50,1680.92,44,1678.92,162982.24
sales079,23-03-2020,r001,G4,1,368.56,32,361.56,12,359.56,16253.2
sales079,23-03-2020,r019,UA,7,1007.6,49,1000.6,26,998.6,82046.2
sales079,23-03-2020,r011,AA,7,176.4,32,169.4,46,167.4,14356
sales080,24-03-2020,r009,UA,12,242,16,235,32,233,14120
sales080,24-03-2020,r017,UA,1,1678.48,3,1671.48,9,1669.48,21718.24
sales080,24-03-2020,r023,UA,14,162.8,18,155.8,34,153.8,10312.8
sales080,24-03-2020,r017,WN,1,1678.48,38,1671.48,43,1669.48,136982.36
sales081,25-03-2020,r007,G4,1,58.8,47,51.8,39,49.8,4435.6
sales081,25-03-2020,r016,G4,1,1906.16,14,1899.16,6,1897.16,39877.36
sales081,25-03-2020,r006,WN,1,1534,39,1527,23,1525,96162
sales081,25-03-2020,r013,UA,16,108.08,20,101.08,36,99.08,7317.76
sales082,26-03-2020,r006,UA,1,677.04,40,670.04,34,668.04,50192
sales082,26-03-2020,r005,UA,22,1534,9,1527,44,1525,114591
sales082,26-03-2020,r007,UA,2,58.8,29,51.8,35,49.8,3362.8
sales082,26-03-2020,r013,AA,3,108.08,46,101.08,19,99.08,6856.44
sales083,27-03-2020,r014,WN,1,302.32,44,295.32,39,293.32,24735.88
sales083,27-03-2020,r015,G4,1,1589.68,28,1582.68,30,1580.68,93325.12
sales083,27-03-2020,r005,WN,1,162.8,44,155.8,29,153.8,11478.2
sales083,27-03-2020,r023,UA,20,162.8,16,155.8,16,153.8,8209.6
sales084,28-03-2020,r006,G4,1,677.04,35,670.04,46,668.04,54858.28
sales084,28-03-2020,r004,UA,7,1687.92,3,1680.92,44,1678.92,90730.68
sales084,28-03-2020,r001,G4,1,368.56,2,361.56,45,359.56,17271.88
sales084,28-03-2020,r013,WN,1,108.08,34,101.08,39,99.08,7408.92
sales085,29-03-2020,r006,AA,4,677.04,24,670.04,28,668.04,37494.24
sales085,29-03-2020,r013,WN,1,108.08,37,101.08,32,99.08,7018.6
sales085,29-03-2020,r024,G4,1,932,43,925,45,923,82242
sales085,29-03-2020,r014,WN,1,302.32,26,295.32,40,293.32,19713.44
sales086,30-03-2020,r001,WN,3,1007.6,4,1000.6,29,998.6,35984.6
sales086,30-03-2020,r022,WN,1,642.96,46,635.96,21,633.96,43210.28
sales086,30-03-2020,r015,UA,10,1589.68,37,1582.68,43,1580.68,142425.2
sales086,30-03-2020,r021,AA,1,631.28,36,624.28,30,622.28,41773.76
sales087,31-03-2020,r016,WN,2,1906.16,37,1899.16,21,1897.16,113921.6
sales087,31-03-2020,r010,AA,1,613.52,10,606.52,35,604.52,27836.92
