AsOfDate,TradeId,StrutureId,ProductId,EntityId,AgreementId,AgreementPool,CSAIdVM,CSAIdIM,BreakDate,MaturityDate,TradeDate,NotionalUSD,IndependentAmount,Desk
2020-09-08,Tid_116,StructId_16,134,ActiveBank EU,Agr_id30,Pool,csa_9,csa_9,2036-08-20,2036-08-20,2020-09-07,7799206.331808139,0,Equity Desk
2020-09-08,Tid_278,StructId_18,75,ActiveBank Singapore,Agr_id60,Pool,csa_5,csa_7,2026-12-08,2026-12-08,2020-09-07,4497281.7374411365,0,xVA Desk
2020-09-08,Tid_335,StructId_15,174,ActiveBank EU,Agr_id65,Pool,csa_7,csa_3,2044-07-10,2044-07-10,2020-09-07,518436.1901557522,0,Equity Desk
2020-09-08,Tid_322,StructId_2,167,ActiveBank EU,Agr_id54,Pool,csa_3,csa_2,2028-03-15,2028-03-15,2020-09-07,6112793.440576669,0,Equity Desk
2020-09-08,Tid_429,StructId_9,223,ActiveBank EU,Agr_id56,Pool,csa_5,csa_7,2033-02-18,2033-02-18,2020-09-07,3813781.9958859263,0,Equity Desk
2020-09-08,Tid_87,StructId_7,280,ActiveBank EU,Agr_id7,Pool,csa_5,csa_7,2044-03-10,2044-03-10,2020-09-07,68566.20499289922,0,Rates Desk
2020-09-08,Tid_621,StructId_1,90,ActiveBank EU,Agr_id65,Pool,csa_8,csa_0,2031-03-30,2031-03-30,2020-09-07,3404987.374030675,0,Commodities Desk
2020-09-08,Tid_665,StructId_5,111,ActiveBank EU,Agr_id7,Pool,csa_1,csa_1,2026-06-13,2026-06-13,2020-09-07,3906377.246398418,0,Rates Desk
2020-09-08,Tid_350,StructId_10,232,ActiveBank EU,Agr_id39,Pool,csa_7,csa_4,2022-09-25,2022-09-25,2020-09-07,8303496.43868532,0,Equity Desk
2020-09-08,Tid_59,StructId_19,229,ActiveBank EU,Agr_id67,Pool,csa_9,csa_0,2025-11-10,2025-11-10,2020-09-07,7739665.190083684,0,Equity Desk
2020-09-08,Tid_584,StructId_4,284,ActiveBank Singapore,Agr_id66,Pool,csa_4,csa_9,2029-05-13,2033-02-16,2020-09-07,6640927.600230572,0,Rates Desk
2020-09-08,Tid_544,StructId_4,239,ActiveBank EU,Agr_id18,Pool,csa_1,csa_3,2035-06-18,2035-06-18,2020-09-07,9127751.031830205,0,xVA Desk
2020-09-08,Tid_697,StructId_17,269,ActiveBank EU,Agr_id39,Pool,csa_2,csa_9,2045-04-28,2045-04-28,2020-09-07,3709144.68721343,0,Commodities Desk
2020-09-08,Tid_98,StructId_18,284,ActiveBank US,Agr_id59,Pool,csa_8,csa_0,2049-07-21,2049-07-21,2020-09-07,6327001.363243152,0,xVA Desk
2020-09-08,Tid_100,StructId_0,197,ActiveBank US,Agr_id18,Pool,csa_2,csa_0,2040-03-28,2040-03-28,2020-09-07,1218890.2759343612,0,Commodities Desk
2020-09-08,Tid_241,StructId_1,272,ActiveBank EU,Agr_id1,Pool,csa_9,csa_1,2028-03-23,2028-03-23,2020-09-07,1800937.9179328822,0,Rates Desk
2020-09-08,Tid_435,StructId_15,287,ActiveBank EU,,Pool,csa_1,csa_7,2046-02-01,2046-02-01,2020-09-07,1285290.077436607,0,Commodities Desk
2020-09-08,Tid_145,StructId_5,162,ActiveBank EU,Agr_id7,Pool,csa_8,csa_3,2031-10-01,2031-10-01,2020-09-07,4254108.196034303,0,Rates Desk
2020-09-08,Tid_85,StructId_5,18,ActiveBank US,Agr_id18,Pool,csa_0,csa_1,2029-09-12,2029-09-12,2020-09-07,5867006.698737964,0,Commodities Desk
2020-09-08,Tid_603,StructId_3,239,ActiveBank US,,Pool,csa_3,csa_3,2030-09-18,2033-08-28,2020-09-07,4990950.165313407,0,Equity Desk
2020-09-08,Tid_472,StructId_12,196,ActiveBank EU,,Pool,csa_5,csa_8,2043-01-26,2043-01-26,2020-09-07,9461357.766511165,0,Rates Desk
2020-09-08,Tid_427,StructId_7,231,ActiveBank US,,Pool,csa_1,csa_9,2023-05-02,2023-05-02,2020-09-07,4775186.243080523,0,Rates Desk
2020-09-08,Tid_139,StructId_19,29,ActiveBank EU,Agr_id51,Pool,csa_7,csa_1,2021-07-28,2022-04-06,2020-09-07,404860.1763569681,0,Commodities Desk
2020-09-08,Tid_304,StructId_4,204,ActiveBank EU,Agr_id43,Pool,csa_7,csa_9,2041-04-13,2041-04-13,2020-09-07,1749165.4663425072,0,Equity Desk
2020-09-08,Tid_682,StructId_2,173,ActiveBank EU,Agr_id16,Pool,csa_0,csa_1,2022-11-16,2027-09-07,2020-09-07,783303.0810012409,0,xVA Desk
2020-09-08,Tid_400,StructId_0,112,ActiveBank EU,Agr_id41,Pool,csa_2,csa_9,2024-11-11,2024-11-11,2020-09-07,1914832.0183501744,0,xVA Desk
2020-09-08,Tid_314,StructId_14,246,ActiveBank EU,Agr_id11,Pool,csa_4,csa_9,2035-09-16,2035-09-16,2020-09-07,3420818.886770679,0,Commodities Desk
2020-09-08,Tid_586,StructId_6,284,ActiveBank US,Agr_id15,Pool,csa_1,csa_6,2048-04-28,2048-04-28,2020-09-07,9746101.044115037,0,Commodities Desk
2020-09-08,Tid_724,StructId_4,144,ActiveBank EU,Agr_id44,Pool,csa_3,csa_8,2042-07-14,2042-07-14,2020-09-07,8193023.84204977,0,xVA Desk
2020-09-08,Tid_142,StructId_2,32,ActiveBank EU,Agr_id22,Pool,csa_3,csa_6,2038-10-22,2038-10-22,2020-09-07,6512955.962868435,0,Equity Desk
2020-09-08,Tid_67,StructId_7,263,ActiveBank EU,Agr_id32,Pool,csa_2,csa_6,2037-02-13,2037-02-13,2020-09-07,1979627.6485338616,0,Equity Desk
2020-09-08,Tid_633,StructId_13,59,ActiveBank US,Agr_id37,Pool,csa_9,csa_6,2021-05-03,2021-05-03,2020-09-07,5018765.570410766,0,Rates Desk
2020-09-08,Tid_568,StructId_8,276,ActiveBank Singapore,Agr_id14,Pool,csa_0,csa_7,2024-06-04,2040-02-27,2020-09-07,9942419.017648444,0,Equity Desk
2020-09-08,Tid_708,StructId_8,262,ActiveBank EU,Agr_id27,Pool,csa_1,csa_3,2021-01-05,2021-01-05,2020-09-07,9569518.480192725,0,Equity Desk
2020-09-08,Tid_208,StructId_8,220,ActiveBank EU,Agr_id6,Pool,csa_0,csa_5,2025-06-27,2025-06-27,2020-09-07,2071216.1237289272,0,Commodities Desk
2020-09-08,Tid_579,StructId_19,283,ActiveBank EU,Agr_id0,Pool,csa_6,csa_3,2028-11-23,2028-11-23,2020-09-07,8562235.007695457,0,Rates Desk
2020-09-08,Tid_510,StructId_10,141,ActiveBank EU,Agr_id30,Pool,csa_0,csa_6,2036-04-07,2036-04-07,2020-09-07,6200160.372880259,0,Rates Desk
2020-09-08,Tid_444,StructId_4,92,ActiveBank US,Agr_id51,Pool,csa_0,csa_9,2041-08-17,2041-08-17,2020-09-07,442790.9642042149,0,Equity Desk
2020-09-08,Tid_81,StructId_1,24,ActiveBank EU,Agr_id65,Pool,csa_7,csa_1,2021-02-19,2022-01-13,2020-09-07,1823120.426715923,0,Equity Desk
2020-09-08,Tid_190,StructId_10,52,ActiveBank US,Agr_id50,Pool,csa_0,csa_0,2038-04-23,2044-01-16,2020-09-07,8030977.669833588,0,Rates Desk
2020-09-08,Tid_424,StructId_4,118,ActiveBank EU,Agr_id52,Pool,csa_1,csa_6,2028-12-11,2028-12-11,2020-09-07,1607878.8819253787,0,Rates Desk
2020-09-08,Tid_512,StructId_12,142,ActiveBank EU,Agr_id27,Pool,csa_4,csa_7,2021-09-15,2028-02-25,2020-09-07,9084127.357219571,0,Commodities Desk
2020-09-08,Tid_230,StructId_10,262,ActiveBank EU,Agr_id19,Pool,csa_5,csa_2,2027-03-22,2027-04-06,2020-09-07,8719456.320391046,0,Rates Desk
2020-09-08,Tid_425,StructId_5,6,ActiveBank EU,Agr_id38,Pool,csa_4,csa_1,2040-10-18,2040-10-18,2020-09-07,4656912.578120858,0,Rates Desk
2020-09-08,Tid_488,StructId_8,198,ActiveBank EU,Agr_id15,Pool,csa_8,csa_8,2049-05-23,2049-05-23,2020-09-07,6066308.553537186,0,Rates Desk
2020-09-08,Tid_613,StructId_13,41,ActiveBank Singapore,Agr_id33,Pool,csa_1,csa_8,2025-12-04,2025-12-04,2020-09-07,5525458.587963239,0,Rates Desk
2020-09-08,Tid_34,StructId_14,173,ActiveBank EU,Agr_id32,Pool,csa_1,csa_8,2040-02-04,2040-02-04,2020-09-07,8511794.782314831,0,xVA Desk
2020-09-08,Tid_186,StructId_6,138,ActiveBank EU,Agr_id39,Pool,csa_3,csa_5,2022-05-17,2032-02-14,2020-09-07,2884167.5354460804,0,Rates Desk
2020-09-08,Tid_581,StructId_1,13,ActiveBank EU,Agr_id67,Pool,csa_4,csa_0,2025-09-07,2025-09-07,2020-09-07,914729.8240854952,0,Rates Desk
2020-09-08,Tid_45,StructId_5,221,ActiveBank US,Agr_id13,Pool,csa_4,csa_2,2026-04-30,2048-05-21,2020-09-07,8301084.368264745,0,Rates Desk
2020-09-08,Tid_634,StructId_14,85,ActiveBank Singapore,Agr_id49,Pool,csa_3,csa_8,2028-01-04,2046-08-31,2020-09-07,1296411.0764346172,0,Equity Desk
2020-09-08,Tid_448,StructId_8,190,ActiveBank EU,Agr_id40,Pool,csa_0,csa_6,2034-09-23,2034-09-23,2020-09-07,1807962.2760869728,0,Rates Desk
2020-09-08,Tid_699,StructId_19,139,ActiveBank EU,Agr_id40,Pool,csa_3,csa_7,2023-12-09,2026-10-12,2020-09-07,4303803.604017148,0,Equity Desk
2020-09-08,Tid_693,StructId_13,119,ActiveBank EU,Agr_id36,Pool,csa_6,csa_8,2021-11-30,2021-11-30,2020-09-07,3484734.1231726804,0,Rates Desk
2020-09-08,Tid_380,StructId_0,58,ActiveBank EU,Agr_id39,Pool,csa_7,csa_7,2033-10-16,2033-10-16,2020-09-07,7197327.565939952,0,xVA Desk
2020-09-08,Tid_421,StructId_1,275,ActiveBank EU,Agr_id64,Pool,csa_1,csa_7,2031-09-09,2031-09-09,2020-09-07,8123459.752978399,0,xVA Desk
2020-09-08,Tid_560,StructId_0,173,ActiveBank EU,Agr_id39,Pool,csa_0,csa_5,2048-05-03,2048-05-03,2020-09-07,9472738.45986604,0,Commodities Desk
2020-09-08,Tid_58,StructId_18,80,ActiveBank US,Agr_id13,Pool,csa_3,csa_2,2022-06-05,2022-06-05,2020-09-07,710549.318890642,0,Commodities Desk
2020-09-08,Tid_449,StructId_9,111,ActiveBank EU,Agr_id48,Pool,csa_2,csa_8,2021-10-18,2041-01-23,2020-09-07,9478827.243056417,0,Commodities Desk
2020-09-08,Tid_57,StructId_17,254,ActiveBank EU,Agr_id29,Pool,csa_6,csa_1,2040-12-11,2040-12-11,2020-09-07,4864979.861761952,0,Rates Desk
2020-09-08,Tid_283,StructId_3,270,ActiveBank EU,Agr_id13,Pool,csa_9,csa_5,2041-05-25,2041-05-25,2020-09-07,4953480.470864218,0,xVA Desk
