AsOfDate,ProductId,ProductFamily,ProductCategory,TradingProduct
2020-09-08,113,Exotic,StructuredCDS,LongformBespoke
2020-09-08,114,Exotic,StructuredCDS,StandardTermsBespoke
2020-09-08,115,Index,ABX,ABXHE
2020-09-08,116,Index,CDX,CDXEmergingMarkets
2020-09-08,117,Index,CDX,CDXEmergingMarketsDiversified
2020-09-08,118,Index,CDX,CDXHY
2020-09-08,119,Index,CDX,CDXIG
2020-09-08,120,Index,CDX,CDXXO
2020-09-08,121,Index,CDX,StandardLCDXBullet
2020-09-08,122,Index,CMBX,CMBX
2020-09-08,123,Index,IOS,IOS
2020-09-08,124,Index,iTraxx,iTraxxAsiaExJapan
2020-09-08,125,Index,iTraxx,iTraxxAustralia
2020-09-08,126,Index,iTraxx,iTraxxEurope
2020-09-08,127,Index,iTraxx,iTraxxJapan
2020-09-08,128,Index,iTraxx,iTraxxLevX
2020-09-08,129,Index,iTraxx,ItraxxSDI
2020-09-08,130,Index,iTraxx,iTraxxSovX
2020-09-08,131,Index,LCDX,LCDX
2020-09-08,132,Index,MBX,MBX
2020-09-08,133,Index,MCDX,MCDX
2020-09-08,134,Index,PO,PO
2020-09-08,135,Index,PrimeX,PrimeX
2020-09-08,136,Index,TRX,TRX
2020-09-08,137,IndexTranche,ABX,ABXTranche
2020-09-08,138,IndexTranche,CDX,CDXEmergingMarketsDiversifiedTranche
2020-09-08,139,IndexTranche,CDX,CDXTrancheHY
2020-09-08,140,IndexTranche,CDX,CDXTrancheIG
2020-09-08,141,IndexTranche,CDX,CDXTrancheXO
2020-09-08,142,IndexTranche,CDX,StandardCDXTrancheHY
2020-09-08,143,IndexTranche,CDX,StandardCDXTrancheIG
2020-09-08,144,IndexTranche,CDXStructuredTranche,CDXBlendedTranche
2020-09-08,145,IndexTranche,CDXStructuredTranche,CDXRiskyZeroTranche
2020-09-08,146,IndexTranche,iTraxx,iTraxxAsiaExJapanTranche
2020-09-08,147,IndexTranche,iTraxx,iTraxxAustraliaTranche
2020-09-08,148,IndexTranche,iTraxx,iTraxxEuropeTranche
2020-09-08,149,IndexTranche,iTraxx,iTraxxJapanTranche
2020-09-08,150,IndexTranche,iTraxx,StandardiTraxxEuropeTranche
2020-09-08,151,IndexTranche,iTraxxStructuredTranche,iTraxxBlendedTranche
2020-09-08,152,IndexTranche,iTraxxStructuredTranche,iTraxxRiskyZeroTranche
2020-09-08,153,IndexTranche,LCDX,LCDXTranche
2020-09-08,154,IndexTranche,LCDX,StandardLCDXBulletTranche
2020-09-08,155,SingleName,ABS,CDSonCDO
2020-09-08,156,SingleName,ABS,CMBS
2020-09-08,157,SingleName,ABS,EuropeanCMBS
2020-09-08,158,SingleName,ABS,EuropeanRMBS
2020-09-08,159,SingleName,ABS,RMBS
2020-09-08,160,SingleName,Corporate,AsiaCorporate
2020-09-08,161,SingleName,Corporate,AustraliaCorporate
2020-09-08,162,SingleName,Corporate,EmergingEuropeanCorporate
2020-09-08,163,SingleName,Corporate,EmergingEuropeanCorporateLPN
2020-09-08,164,SingleName,Corporate,EuropeanCorporate
2020-09-08,165,SingleName,Corporate,JapanCorporate
2020-09-08,166,SingleName,Corporate,LatinAmericaCorporate
2020-09-08,167,SingleName,Corporate,LatinAmericaCorporateBond
2020-09-08,168,SingleName,Corporate,LatinAmericaCorporateBondOrLoan
2020-09-08,169,SingleName,Corporate,NewZealandCorporate
2020-09-08,170,SingleName,Corporate,NorthAmericanCorporate
2020-09-08,171,SingleName,Corporate,SingaporeCorporate
2020-09-08,172,SingleName,Corporate,StandardAsiaCorporate
2020-09-08,173,SingleName,Corporate,StandardAustraliaCorporate
2020-09-08,174,SingleName,Corporate,StandardEmergingEuropeanCorporate
2020-09-08,175,SingleName,Corporate,StandardEmergingEuropeanCorporateLPN
2020-09-08,176,SingleName,Corporate,StandardEuropeanCorporate
2020-09-08,177,SingleName,Corporate,StandardJapanCorporate
2020-09-08,178,SingleName,Corporate,StandardLatinAmericaCorporateBond
2020-09-08,179,SingleName,Corporate,StandardLatinAmericaCorporateBondOrLoan
2020-09-08,180,SingleName,Corporate,StandardNewZealandCorporate
2020-09-08,181,SingleName,Corporate,StandardNorthAmericanCorporate
2020-09-08,182,SingleName,Corporate,StandardSingaporeCorporate
2020-09-08,183,SingleName,Corporate,StandardSubordinatedEuropeanInsuranceCorporate
2020-09-08,184,SingleName,Corporate,StandardSukukCorporate
2020-09-08,185,SingleName,Corporate,SubordinatedEuropeanInsuranceCorporate
2020-09-08,186,SingleName,Corporate,SukukCorporate
2020-09-08,187,SingleName,Loans,ELCDS
2020-09-08,188,SingleName,Loans,LCDS
2020-09-08,189,SingleName,Loans,StandardLCDSBullet
2020-09-08,190,SingleName,Muni,USMunicipalFullFaithAndCredit
2020-09-08,191,SingleName,Muni,USMunicipalGeneralFund
2020-09-08,192,SingleName,Muni,USMunicipalRevenue
2020-09-08,193,SingleName,RecoveryCDS,FixedRecoverySwaps
2020-09-08,194,SingleName,RecoveryCDS,RecoveryLocks
2020-09-08,195,SingleName,Sovereign,AsiaSovereign
2020-09-08,196,SingleName,Sovereign,AustraliaSovereign
2020-09-08,197,SingleName,Sovereign,EmergingEuropeanAndMiddleEasternSovereign
2020-09-08,198,SingleName,Sovereign,JapanSovereign
2020-09-08,199,SingleName,Sovereign,LatinAmericaSovereign
2020-09-08,200,SingleName,Sovereign,NewZealandSovereign
2020-09-08,201,SingleName,Sovereign,SingaporeSovereign
2020-09-08,202,SingleName,Sovereign,StandardAsiaSovereign
2020-09-08,203,SingleName,Sovereign,StandardAustraliaSovereign
2020-09-08,204,SingleName,Sovereign,StandardEmergingEuropeanAndMiddleEasternSovereign
2020-09-08,205,SingleName,Sovereign,StandardJapanSovereign
2020-09-08,206,SingleName,Sovereign,StandardLatinAmericaSovereign
2020-09-08,207,SingleName,Sovereign,StandardNewZealandSovereign
2020-09-08,208,SingleName,Sovereign,StandardSingaporeSovereign
2020-09-08,209,SingleName,Sovereign,StandardSukukSovereign
2020-09-08,210,SingleName,Sovereign,StandardWesternEuropeanSovereign
2020-09-08,211,SingleName,Sovereign,SukukSovereign
2020-09-08,212,SingleName,Sovereign,WesternEuropeanSovereign
2020-09-08,213,Swaptions,CDX,CDXSwaption
2020-09-08,214,Swaptions,Corporate,CDSSwaption
2020-09-08,215,Swaptions,iTraxx,iTraxxAsiaExJapanSwaption
2020-09-08,216,Swaptions,iTraxx,iTraxxAustraliaSwaption
2020-09-08,217,Swaptions,iTraxx,iTraxxEuropeSwaption
2020-09-08,218,Swaptions,iTraxx,iTraxxJapanSwaption
2020-09-08,219,Swaptions,iTraxx,iTraxxSovXSwaption
2020-09-08,220,Swaptions,Muni,CDSSwaption
2020-09-08,221,Swaptions,Sovereign,CDSSwaption
2020-09-08,222,TotalReturnSwap,,
2020-09-08,223,SingleName,Muni,StandardUSMunicipalFullFaithandCredit
2020-09-08,224,SingleName,Muni,StandardUSMunicipalGeneralFund
2020-09-08,225,SingleName,Muni,StandardUSMunicipalRevenue
2020-09-08,226,Swaptions,MCDX,MCDXSwaption
2020-09-08,227,Exotic,StructuredCDS,BespokeTranche
2020-09-08,228,Exotic,StructuredCDS,IndexContingentCDS
2020-09-08,229,IndexTranche,MCDX,MCDXTranche
2020-09-08,230,Index,LCDX,StandardLCDXBullet
2020-09-08,231,SingleName,ABS,EuropeanMBS
2020-09-08,232,SingleName,ABS,MBS
2020-09-08,233,ContractForDifference,PriceReturnBasicPerformance,Basket
2020-09-08,234,ContractForDifference,PriceReturnBasicPerformance,SingleIndex
2020-09-08,235,ContractForDifference,PriceReturnBasicPerformance,SingleName
2020-09-08,236,Forward,PriceReturnBasicPerformance,Basket
2020-09-08,237,Forward,PriceReturnBasicPerformance,SingleIndex
2020-09-08,238,Forward,PriceReturnBasicPerformance,SingleName
2020-09-08,239,Option,ParameterReturnDividend,Basket
2020-09-08,240,Option,ParameterReturnDividend,SingleIndex
2020-09-08,241,Option,ParameterReturnDividend,SingleName
2020-09-08,242,Option,ParameterReturnVariance,Basket
2020-09-08,243,Option,ParameterReturnVariance,SingleIndex
2020-09-08,244,Option,ParameterReturnVariance,SingleName
2020-09-08,245,Option,ParameterReturnVolatility,Basket
2020-09-08,246,Option,ParameterReturnVolatility,SingleIndex
2020-09-08,247,Option,ParameterReturnVolatility,SingleName
2020-09-08,248,Option,PriceReturnBasicPerformance,Basket
2020-09-08,249,Option,PriceReturnBasicPerformance,SingleIndex
2020-09-08,250,Option,PriceReturnBasicPerformance,SingleName
2020-09-08,251,Other,,
2020-09-08,252,PortfolioSwap,PriceReturnBasicPerformance,Basket
2020-09-08,253,PortfolioSwap,PriceReturnBasicPerformance,SingleIndex
2020-09-08,254,PortfolioSwap,PriceReturnBasicPerformance,SingleName
2020-09-08,255,Swap,ParameterReturnDividend,Basket
2020-09-08,256,Swap,ParameterReturnDividend,SingleIndex
2020-09-08,257,Swap,ParameterReturnDividend,SingleName
2020-09-08,258,Swap,ParameterReturnVariance,Basket
2020-09-08,259,Swap,ParameterReturnVariance,SingleIndex
2020-09-08,260,Swap,ParameterReturnVariance,SingleName
2020-09-08,261,Swap,ParameterReturnVolatility,Basket
2020-09-08,262,Swap,ParameterReturnVolatility,SingleIndex
2020-09-08,263,Swap,ParameterReturnVolatility,SingleName
2020-09-08,264,Swap,PriceReturnBasicPerformance,Basket
2020-09-08,265,Swap,PriceReturnBasicPerformance,SingleIndex
2020-09-08,266,Swap,PriceReturnBasicPerformance,SingleName
2020-09-08,267,ComplexExotic,,
2020-09-08,268,NDF,,
2020-09-08,269,NDO,,
2020-09-08,270,SimpleExotic,Barrier,
2020-09-08,271,SimpleExotic,Digital,
2020-09-08,272,VanillaOption,,
2020-09-08,273,Forward,,
2020-09-08,274,Spot,,
2020-09-08,275,CapFloor,,
2020-09-08,276,CrossCurrency,Basis,
2020-09-08,277,CrossCurrency,FixedFixed,
2020-09-08,278,CrossCurrency,FixedFloat,
2020-09-08,279,Exotic,,
2020-09-08,280,FRA,,
2020-09-08,281,IRSwap,Basis,
2020-09-08,282,IRSwap,FixedFixed,
2020-09-08,283,IRSwap,FixedFloat,
2020-09-08,284,IRSwap,Inflation,
2020-09-08,285,IRSwap,OIS,
2020-09-08,286,Option,DebtOption,
2020-09-08,287,Option,Swaption,
