CustomerId,CompanyName,Address,City,Region,PostalCode,Country,Phone
c2675,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647
c2731,Tradição Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,(11) 555-2167
c2787,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542
c2843,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany,0711-020361
c2899,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,Spain,(95) 555 82 82
c2955,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584
c3011,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573
c3067,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,5021,Mexico,(5) 555-4729
c3123,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612
c3179,Du monde entier,"67, rue des Cinquante Otages",Nantes,,44000,France,40.67.88.88
c3235,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888
c3291,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,5033,Mexico,(5) 552-3745
c3347,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876
c3403,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097
c3459,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,,28023,Spain,(91) 555 22 82
c3515,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534
c3571,Bon app',"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40
c3627,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054
c3683,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634
c3739,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark,31 12 34 56
c3795,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857
c3851,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France,61.77.61.10
c3907,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria,6562-9722
c3963,Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK,(171) 555-7788
c4019,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717
c4075,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany,0241-039123
c4131,Eastern Connection,35 King George,London,,WX3 6FW,UK,(171) 555-0297
c4187,Antonio Moreno Taquería,Mataderos 2312,México D.F.,,5023,Mexico,(5) 555-3932
c4243,Galería del gastrónomo,"Rambla de Cataluña, 23",Barcelona,,8022,Spain,(93) 203 4560
c4299,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark,86 21 32 43
c4355,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189
c4411,Wolski Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Poland,(26) 642-7012
c4467,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874
c4523,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Norway,07-98 92 35
c4579,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729
c4635,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12
c4691,Folies gourmandes,"184, chaussée de Tournai",Lille,,59000,France,20.16.10.16
c4747,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,(1) 135-5333
c4803,Franchi S.p.A.,Via Monte Bianco 34,Torino,,10100,Italy,011-4988260
c4859,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,(11) 555-9482
c4915,Consolidated Holdings,Berkeley Gardens 12 Brewery,London,,WX1 6LT,UK,(171) 555-2282
c4971,Rancho grande,Av. del Libertador 900,Buenos Aires,,1010,Argentina,(1) 123-5555
c5027,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969
c5083,Laughing Bacchus Wine Cellars,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392
c5139,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany,0621-08460
c5195,North/South,South House 300 Queensbridge,London,,SW7 1RZ,UK,(171) 555-7733
c5251,Cactus Comidas para llevar,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-5555
c5307,Great Lakes Food Market,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555
c5363,Maison Dewey,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,(02) 201 24 67
c5419,Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257
c5475,Let's Stop N Shop,87 Polk St. Suite 5,San Francisco,CA,94117,USA,(415) 555-5938
c5531,Wilman Kala,Keskuskatu 45,Helsinki,,21240,Finland,90-224 8858
c5587,The Cracker Box,55 Grizzly Peak Rd.,Butte,MT,59801,USA,(406) 555-5834
c5643,Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany,030-0074321
c5699,France restauration,"54, rue Royale",Nantes,,44000,France,40.32.21.21
c5755,Spécialités du monde,"25, rue Lauriston",Paris,,75016,France,(1) 47.55.60.10
c5811,La corne d'abondance,"67, avenue de l'Europe",Versailles,,78000,France,30.59.84.10
