national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,is_sublegendary,is_legendary,is_mythical
138,I,Omanyte,Omnite,rock,water,Spiral,88.14,11.86,0.4,7.5,45,7680,35,40,100,90,55,35,0,0,0
139,I,Omastar,Omstar,rock,water,Spiral,88.14,11.86,1,35,45,7680,70,60,125,115,70,55,0,0,0
140,I,Kabuto,Kabuto,rock,water,Shellfish,88.14,11.86,0.5,11.5,45,7680,30,80,90,55,45,55,0,0,0
141,I,Kabutops,Kabutops,rock,water,Shellfish,88.14,11.86,1.3,40.5,45,7680,60,115,105,65,70,80,0,0,0
142,I,Aerodactyl,Ptera,rock,flying,Fossil,88.14,11.86,1.8,59,45,8960,80,105,65,60,75,130,0,0,0
143,I,Snorlax,Kabigon,normal,,Sleeping,88.14,11.86,2.1,460,25,10240,160,110,65,65,110,30,0,0,0
144,I,Articuno,Freezer,ice,flying,Freeze,,,1.7,55.4,3,20480,90,85,100,95,125,85,1,0,0
145,I,Zapdos,Thunder,electric,flying,Electric,,,1.6,52.6,3,20480,90,90,85,125,90,100,1,0,0
146,I,Moltres,Fire,fire,flying,Flame,,,2,60,3,20480,90,100,90,125,85,90,1,0,0
147,I,Dratini,Miniryu,dragon,,Dragon,50.2,49.8,1.8,3.3,45,10240,41,64,45,50,50,50,0,0,0
148,I,Dragonair,Hakuryu,dragon,,Dragon,50.2,49.8,4,16.5,45,10240,61,84,65,70,70,70,0,0,0
149,I,Dragonite,Kairyu,dragon,flying,Dragon,50.2,49.8,2.2,210,45,10240,91,134,95,100,100,80,0,0,0
150,I,Mewtwo,Mewtwo,psychic,,Genetic,,,2,122,3,30720,106,110,90,154,90,130,0,1,0
151,I,Mew,Mew,psychic,,New Species,,,0.4,4,45,30720,100,100,100,100,100,100,0,0,1
152,II,Chikorita,Chicorita,grass,,Leaf,88.1,11.9,0.9,6.4,45,5120,45,49,65,49,65,45,0,0,0
153,II,Bayleef,Bayleaf,grass,,Leaf,88.1,11.9,1.2,15.8,45,5120,60,62,80,63,80,60,0,0,0
154,II,Meganium,Meganium,grass,,Herb,88.1,11.9,1.8,100.5,45,5120,80,82,100,83,100,80,0,0,0
155,II,Cyndaquil,Hinoarashi,fire,,Fire Mouse,88.1,11.9,0.5,7.9,45,5120,39,52,43,60,50,65,0,0,0
156,II,Quilava,Magmarashi,fire,,Volcano,88.1,11.9,0.9,19,45,5120,58,64,58,80,65,80,0,0,0
157,II,Typhlosion,Bakphoon,fire,,Volcano,88.1,11.9,1.7,79.5,45,5120,78,84,78,109,85,100,0,0,0
158,II,Totodile,Waninoko,water,,Big Jaw,88.1,11.9,0.6,9.5,45,5120,50,65,64,44,48,43,0,0,0
159,II,Croconaw,Alligates,water,,Big Jaw,88.1,11.9,1.1,25,45,5120,65,80,80,59,63,58,0,0,0
160,II,Feraligatr,Ordile,water,,Big Jaw,88.1,11.9,2.3,88.8,45,5120,85,105,100,79,83,78,0,0,0
161,II,Sentret,Otachi,normal,,Scout,50,50,0.8,6,255,3840,35,46,34,35,45,20,0,0,0
162,II,Furret,Ootachi,normal,,Long Body,50,50,1.8,32.5,90,3840,85,76,64,45,55,90,0,0,0
163,II,Hoothoot,Hoho,normal,flying,Owl,50.2,49.8,0.7,21.2,255,3840,60,30,30,36,56,50,0,0,0
164,II,Noctowl,Yorunozuku,normal,flying,Owl,50.2,49.8,1.6,40.8,90,3840,100,50,50,86,96,70,0,0,0
165,II,Ledyba,Rediba,bug,flying,Five Star,50,50,1,10.8,255,3840,40,20,30,40,80,55,0,0,0
166,II,Ledian,Redian,bug,flying,Five Star,50,50,1.4,35.6,90,3840,55,35,50,55,110,85,0,0,0
167,II,Spinarak,Itomaru,bug,poison,String Spit,50,50,0.5,8.5,255,3840,40,60,40,40,40,30,0,0,0
168,II,Ariados,Ariados,bug,poison,Long Leg,50,50,1.1,33.5,90,3840,70,90,70,60,70,40,0,0,0
169,II,Crobat,Crobat,poison,flying,Bat,50.2,49.8,1.8,75,90,3840,85,90,80,70,80,130,0,0,0
170,II,Chinchou,Chonchie,water,electric,Angler,50.2,49.8,0.5,12,190,5120,75,38,38,56,56,67,0,0,0
171,II,Lanturn,Lantern,water,electric,Light,50.2,49.8,1.2,22.5,75,5120,125,58,58,76,76,67,0,0,0
172,II,Pichu,Pichu,electric,,Tiny Mouse,50.2,49.8,0.3,2,190,2560,20,40,15,35,35,60,0,0,0
173,II,Cleffa,Py,fairy,,Star Shape,24.9,75.1,0.3,3,150,2560,50,25,28,45,55,15,0,0,0
174,II,Igglybuff,Pupurin,normal,fairy,Balloon,24.9,75.1,0.3,1,170,2560,90,30,15,40,20,15,0,0,0
175,II,Togepi,Togepy,fairy,,Spike Ball,88.14,11.86,0.3,1.5,190,2560,35,20,65,40,65,20,0,0,0
176,II,Togetic,Togechick,fairy,flying,Happiness,88.14,11.86,0.6,3.2,75,2560,55,40,85,80,105,40,0,0,0
177,II,Natu,Naty,psychic,flying,Little Bird,50.2,49.8,0.2,2,190,5120,40,50,45,70,45,70,0,0,0
178,II,Xatu,Natio,psychic,flying,Mystic,50.2,49.8,1.5,15,75,5120,65,75,70,95,70,95,0,0,0
179,II,Mareep,Merriep,electric,,Wool,50,50,0.6,7.8,235,5120,55,40,40,65,45,35,0,0,0
180,II,Flaaffy,Mokoko,electric,,Wool,50,50,0.8,13.3,120,5120,70,55,55,80,60,45,0,0,0
181,II,Ampharos,Denryu,electric,,Light,50,50,1.4,61.5,45,5120,90,75,85,115,90,55,0,0,0
182,II,Bellossom,Kireihana,grass,,Flower,50.2,49.8,0.4,5.8,45,5120,75,80,95,90,100,50,0,0,0
183,II,Marill,Maril,water,fairy,Aquamouse,50.2,49.8,0.4,8.5,190,2560,70,20,50,20,50,40,0,0,0
184,II,Azumarill,Marilli,water,fairy,Aquarabbit,50.2,49.8,0.8,28.5,75,2560,100,50,80,60,80,50,0,0,0
185,II,Sudowoodo,Usokkie,rock,,Imitation,50.2,49.8,1.2,38,65,5120,70,100,115,30,65,30,0,0,0
186,II,Politoed,Nyorotono,water,,Frog,50.2,49.8,1.1,33.9,45,5120,90,75,75,90,100,70,0,0,0
187,II,Hoppip,Hanecco,grass,flying,Cottonweed,50,50,0.4,0.5,255,5120,35,35,40,35,55,50,0,0,0
188,II,Skiploom,Popocco,grass,flying,Cottonweed,50,50,0.6,1,120,5120,55,45,50,45,65,80,0,0,0
189,II,Jumpluff,Watacco,grass,flying,Cottonweed,50,50,0.8,3,45,5120,75,55,70,55,95,110,0,0,0
190,II,Aipom,Eipam,normal,,Long Tail,50,50,0.8,11.5,45,5120,55,70,55,40,55,85,0,0,0
191,II,Sunkern,Himanuts,grass,,Seed,50,50,0.3,1.8,235,5120,30,30,30,30,30,30,0,0,0
192,II,Sunflora,Kimawari,grass,,Sun,50,50,0.8,8.5,120,5120,75,75,55,105,85,30,0,0,0
193,II,Yanma,Yanyanma,bug,flying,Clear Wing,50,50,1.2,38,75,5120,65,65,45,75,45,95,0,0,0
194,II,Wooper,Upah,water,ground,Water Fish,50.2,49.8,0.4,8.5,255,5120,55,45,45,25,25,15,0,0,0
195,II,Quagsire,Nuoh,water,ground,Water Fish,50.2,49.8,1.4,75,90,5120,95,85,85,65,65,35,0,0,0
196,II,Espeon,Eifie,psychic,,Sun,88.14,11.86,0.9,26.5,45,8960,65,65,60,130,95,110,0,0,0
197,II,Umbreon,Blacky,dark,,Moonlight,88.14,11.86,1,27,45,8960,95,65,110,60,130,65,0,0,0
198,II,Murkrow,Yamikarasu,dark,flying,Darkness,50,50,0.5,2.1,30,5120,60,85,42,85,42,91,0,0,0
199,II,Slowking,Yadoking,water,psychic,Royal,50.2,49.8,2,79.5,70,5120,95,75,80,100,110,30,0,0,0
200,II,Misdreavus,Muma,ghost,,Screech,50,50,0.7,1,45,6400,60,60,60,85,85,85,0,0,0
201,II,Unown,Unknown,psychic,,Symbol,,,0.5,5,225,10240,48,72,48,72,48,48,0,0,0
202,II,Wobbuffet,Sonans,psychic,,Patient,50.2,49.8,1.3,28.5,45,5120,190,33,58,33,58,33,0,0,0
203,II,Girafarig,Kirinriki,normal,psychic,Long Neck,50,50,1.5,41.5,60,5120,70,80,65,90,65,85,0,0,0
204,II,Pineco,Kunugidama,bug,,Bagworm,50,50,0.6,7.2,190,5120,50,65,90,35,35,15,0,0,0
205,II,Forretress,Foretos,bug,steel,Bagworm,50,50,1.2,125.8,75,5120,75,90,140,60,60,40,0,0,0
206,II,Dunsparce,Nokocchi,normal,,Land Snake,50.2,49.8,1.5,14,190,5120,100,70,70,65,65,45,0,0,0
207,II,Gligar,Gliger,ground,flying,Flyscorpion,50,50,1.1,64.8,60,5120,65,75,105,35,65,85,0,0,0
208,II,Steelix,Haganeil,steel,ground,Iron Snake,50.2,49.8,9.2,400,25,6400,75,85,200,55,65,30,0,0,0
209,II,Snubbull,Bulu,fairy,,Fairy,24.6,75.4,0.6,7.8,190,5120,60,80,50,40,40,30,0,0,0
210,II,Granbull,Granbulu,fairy,,Fairy,24.6,75.4,1.4,48.7,75,5120,90,120,75,60,60,45,0,0,0
211,II,Qwilfish,Harysen,water,poison,Balloon,50.2,49.8,0.5,3.9,45,5120,65,95,85,55,55,85,0,0,0
212,II,Scizor,Hassam,bug,steel,Pincer,50.2,49.8,1.8,118,25,6400,70,130,100,55,80,65,0,0,0
213,II,Shuckle,Tsubotsubo,bug,rock,Mold,50.2,49.8,0.6,20.5,190,5120,20,10,230,10,230,5,0,0,0
214,II,Heracross,Heracros,bug,fighting,Singlehorn,50.2,49.8,1.5,54,45,6400,80,125,75,40,95,85,0,0,0
215,II,Sneasel,Nyula,dark,ice,Sharp Claw,50.2,49.8,0.9,28,60,5120,55,95,55,35,75,115,0,0,0
216,II,Teddiursa,Himeguma,normal,,Little Bear,50,50,0.6,8.8,120,5120,60,80,50,50,50,40,0,0,0
217,II,Ursaring,Ringuma,normal,,Hibernator,50,50,1.8,125.8,60,5120,90,130,75,75,75,55,0,0,0
218,II,Slugma,Magmag,fire,,Lava,50,50,0.7,35,190,5120,40,40,40,70,40,20,0,0,0
219,II,Magcargo,Magcargot,fire,rock,Lava,50,50,0.8,55,75,5120,60,50,120,90,80,30,0,0,0
220,II,Swinub,Urimoo,ice,ground,Pig,50.2,49.8,0.4,6.5,225,5120,50,50,40,30,30,50,0,0,0
221,II,Piloswine,Inomoo,ice,ground,Swine,50.2,49.8,1.1,55.8,75,5120,100,100,80,60,60,50,0,0,0
222,II,Corsola,Sunnygo,water,rock,Coral,24.9,75.1,0.6,5,60,5120,65,55,95,65,95,35,0,0,0
