asset_classes,products,maturity_buckets,business_units,pd_bucket,legal_entities,transaction_id,exposure,RWA,reporting_date
Corporates,Debt securities,>1y,Personal Banking,0.00 to < 0.15,iBank filial,transaction_880412,276.13473785631817,46.17425287080481,2020-01-31
Regulatory retail portfolios,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_486259,224.77224752845802,119.78489239135277,2020-01-31
Sovereigns and their central banks,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_824472,76.42591112395137,14.073264711461832,2020-01-31
Non-central government public sector entities,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_806488,259.3627022870332,137.87767497573498,2020-01-31
Multilateral development banks,Other investments,> 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_201056,644.9397333966466,267.36705712358855,2020-01-31
Banks,Loans,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_187114,677.7723173085617,406.2825089352082,2020-01-31
Securities firms,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_221107,53.440772590351514,23.188823697824027,2020-01-31
Corporates,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank CIB,transaction_119958,853.1482954679035,448.0053537925903,2020-01-31
Regulatory retail portfolios,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_325179,175.55073598807823,85.27210602792081,2020-01-31
Sovereigns and their central banks,Debt securities,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_896560,117.69507365337573,25.88680004994752,2020-01-31
Non-central government public sector entities,Other investments,>1y,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_590378,711.3261796466569,381.5029479460094,2020-01-31
Multilateral development banks,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_810759,238.75842367042787,93.91867955957616,2020-01-31
Banks,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_698715,308.8385228380631,76.3579540931242,2020-01-31
Securities firms,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_930412,419.53916664367483,81.28267078419108,2020-01-31
Corporates,Loans,> 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_794661,179.7376103122643,85.85040906649587,2020-01-31
Regulatory retail portfolios,Debt securities,>1y,Asset & Wealth Management,100 default,iBank filial,transaction_214604,878.9953727486011,404.95649884197826,2020-01-31
Sovereigns and their central banks,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_512179,476.5150963246627,273.4306947353948,2020-01-31
Non-central government public sector entities,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_763746,724.8906163200899,304.920217954305,2020-01-31
Multilateral development banks,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_793259,403.8521439599183,193.74840287726337,2020-01-31
Banks,Other investments,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_576979,124.27617327019213,54.17311700543991,2020-01-31
Securities firms,Loans,>1y,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_942923,505.94594727075946,94.36749024859878,2020-01-31
Corporates,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_226575,883.5415594012663,188.14819257350456,2020-01-31
Regulatory retail portfolios,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_092120,956.3153688291343,372.6404413303776,2020-01-31
Sovereigns and their central banks,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_918525,689.7866358165029,105.17237703920642,2020-01-31
Non-central government public sector entities,Debt securities,> 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_944371,926.9021825010324,182.21250272883228,2020-01-31
Multilateral development banks,Other investments,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_002021,487.06089808357433,103.476832217623,2020-01-31
Banks,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_696329,531.916674482438,151.75821852689612,2020-01-31
Securities firms,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_303134,845.575113526075,147.03943101228234,2020-01-31
Corporates,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_698925,286.8789556265795,166.66687668109776,2020-01-31
Regulatory retail portfolios,Loans,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_884225,580.2373407689271,177.38312054929852,2020-01-31
Sovereigns and their central banks,Debt securities,>1y,Wholesale Banking,10.00 to < 100,iBank filial,transaction_244836,976.4918411585508,517.5970603480614,2020-01-31
Non-central government public sector entities,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank CIB,transaction_675750,367.8129929348877,199.6265294694571,2020-01-31
Multilateral development banks,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_233825,894.2406759942905,165.180556543464,2020-01-31
Banks,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_289690,28.707208405816644,13.578750404777578,2020-01-31
Securities firms,Other investments,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_570233,842.3920473210832,297.3570983087457,2020-01-31
Corporates,Loans,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_722670,728.9222983297983,387.29585081372176,2020-01-31
Regulatory retail portfolios,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_168302,498.94729317654196,221.83811188006857,2020-01-31
Sovereigns and their central banks,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_952577,251.98668682943625,110.77362239157154,2020-01-31
Non-central government public sector entities,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_237190,466.7351102145424,258.8249272915604,2020-01-31
Multilateral development banks,Debt securities,> 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_827149,999.1890361058995,555.3197633125765,2020-01-31
Banks,Other investments,>1y,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_669642,870.9579084736268,364.9854556481403,2020-01-31
Securities firms,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_838687,232.06735959881308,119.34586750379577,2020-01-31
Corporates,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_480212,28.413648116298205,16.05037581140792,2020-01-31
Regulatory retail portfolios,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_142289,750.5889974184055,118.86857874832855,2020-01-31
Sovereigns and their central banks,Loans,> 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_857408,246.7571992924522,135.26523227158577,2020-01-31
Non-central government public sector entities,Debt securities,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_013879,272.7624186627934,72.3458218496282,2020-01-31
Multilateral development banks,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_420371,592.7037226487566,138.60302491950264,2020-01-31
Banks,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_278718,803.9339061246825,169.06610959983706,2020-01-31
Securities firms,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_797736,232.24855744380824,85.07273976620509,2020-01-31
Corporates,Other investments,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_479042,726.5229420661194,223.06397453702183,2020-01-31
Regulatory retail portfolios,Loans,>1y,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_167712,412.4183232692884,71.42241663019948,2020-01-31
Sovereigns and their central banks,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_460045,20.350720534988653,10.669579348443733,2020-01-31
Non-central government public sector entities,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_885216,788.4174252756836,156.25065405391985,2020-01-31
Multilateral development banks,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_449669,30.423050748723202,8.070432160308236,2020-01-31
Banks,Debt securities,> 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_666513,595.1683848685486,273.6594825215832,2020-01-31
Securities firms,Other investments,>1y,Asset & Wealth Management,100 default,iBank CIB,transaction_298879,309.93491124308406,85.19294702650889,2020-01-31
Corporates,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_587840,688.5501654483007,252.1479710959012,2020-01-31
Regulatory retail portfolios,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_723575,613.6382289300899,264.8605725792787,2020-01-31
Sovereigns and their central banks,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_492091,765.997470845094,252.51733791291332,2020-01-31
Non-central government public sector entities,Loans,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_613393,575.769155026452,199.82307011377137,2020-01-31
Multilateral development banks,Debt securities,>1y,Personal Banking,0.75 to < 2.50,iBank filial,transaction_608458,575.9119934814405,262.67523333023405,2020-01-31
Banks,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_957820,872.9044075489079,473.8554698345497,2020-01-31
Securities firms,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_472135,133.90739371557459,48.079594097773494,2020-01-31
Corporates,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_530710,429.7675250240448,103.14304433564124,2020-01-31
Regulatory retail portfolios,Other investments,> 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_694714,626.687534104466,193.82770667023243,2020-01-31
Sovereigns and their central banks,Loans,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_924022,862.7454385742323,388.96593952879107,2020-01-31
Non-central government public sector entities,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_840306,141.61165954264987,45.922606550984725,2020-01-31
Multilateral development banks,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_601948,543.4630172764215,154.00900987502905,2020-01-31
Banks,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_576436,290.81291605350503,107.7139100079657,2020-01-31
Securities firms,Debt securities,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_246482,118.50404326951292,69.86336094367988,2020-01-31
Corporates,Other investments,>1y,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_253123,860.2144254004467,254.0677028737923,2020-01-31
Regulatory retail portfolios,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_392751,921.5022281315984,532.5977156493383,2020-01-31
Sovereigns and their central banks,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_307111,327.8482738737102,77.91641923059049,2020-01-31
Non-central government public sector entities,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_657927,118.11860445325128,28.343883854494816,2020-01-31
Multilateral development banks,Loans,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_649546,850.186753216659,420.4848751119932,2020-01-31
Banks,Debt securities,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_448598,583.1958052547753,247.488847043998,2020-01-31
Securities firms,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_783286,163.13426073208313,36.16802922620278,2020-01-31
Corporates,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_930568,22.522448977983945,10.438675321111212,2020-01-31
Regulatory retail portfolios,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_601195,725.4324733437179,399.7638872573633,2020-01-31
Sovereigns and their central banks,Other investments,> 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_030384,471.7642278411028,125.54867293731199,2020-01-31
Non-central government public sector entities,Loans,>1y,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_328922,481.96942097288706,92.3811051333314,2020-01-31
Multilateral development banks,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_193744,63.38382293169953,29.41135729827204,2020-01-31
Banks,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_971862,273.05354094068804,73.30683937715983,2020-01-31
Securities firms,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_018250,89.22194003889206,17.943874988308867,2020-01-31
Corporates,Debt securities,> 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_070717,996.2889211958717,292.26222460219077,2020-01-31
Regulatory retail portfolios,Other investments,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_651228,203.5912911941904,115.04940629009468,2020-01-31
Sovereigns and their central banks,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_714980,649.451417203514,273.3062267979499,2020-01-31
Non-central government public sector entities,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank filial,transaction_866414,206.29862210532735,113.46354597716415,2020-01-31
Multilateral development banks,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_863698,8.116933129207137,4.052328604547004,2020-01-31
Banks,Loans,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_383419,506.5041056499522,162.61484710696396,2020-01-31
Securities firms,Debt securities,>1y,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_565986,776.5592657151145,386.6337866755927,2020-01-31
Corporates,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_032789,619.52872565549,315.18147852417354,2020-01-31
Regulatory retail portfolios,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_669358,426.7030872467678,254.43812553406525,2020-01-31
Sovereigns and their central banks,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_649808,800.8791699410099,184.23734872698253,2020-01-31
Non-central government public sector entities,Other investments,> 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_712877,299.9676089607195,136.11725222874205,2020-01-31
Multilateral development banks,Loans,>1y,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_448269,311.97039740113905,69.53797000037261,2020-01-31
Banks,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_377696,290.1916813835239,122.69926182537307,2020-01-31
Securities firms,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_466846,295.6113177779652,139.70274854566875,2020-01-31
Corporates,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_909772,195.0458519109276,41.183182874211894,2020-01-31
Regulatory retail portfolios,Debt securities,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_118129,722.5075975913912,407.89412486106835,2020-01-31
Sovereigns and their central banks,Other investments,>1y,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_658667,903.3600881306332,150.0941737258292,2020-01-31
Non-central government public sector entities,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_033239,795.1266140826854,180.5420513531307,2020-01-31
Multilateral development banks,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_093537,814.453774006261,436.5424285427782,2020-01-31
Banks,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_891537,923.4068613415684,363.5525654089637,2020-01-31
Securities firms,Loans,> 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_797407,616.3960753042588,149.12434690068935,2020-01-31
Corporates,Debt securities,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_237942,588.630977495735,106.30830906007989,2020-01-31
Regulatory retail portfolios,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_541413,447.923905809303,169.1597001128139,2020-01-31
Sovereigns and their central banks,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_981480,577.118749453283,246.90347350628141,2020-01-31
Non-central government public sector entities,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_676978,7.36372764211779,1.5694225162914195,2020-01-31
Multilateral development banks,Other investments,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_026029,107.67132081955799,26.029667725133574,2020-01-31
Banks,Loans,>1y,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_055107,630.2598723439731,144.75956715023378,2020-01-31
Securities firms,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank filial,transaction_292291,645.6121703675899,219.84452899702347,2020-01-31
Corporates,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_662195,355.2813768122549,212.9899071955325,2020-01-31
Regulatory retail portfolios,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_750022,375.3928728981063,187.03801691454282,2020-01-31
Sovereigns and their central banks,Debt securities,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_153725,434.7243718102772,133.59267778990827,2020-01-31
Non-central government public sector entities,Other investments,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_835141,926.2821624098343,258.67280255088855,2020-01-31
Multilateral development banks,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_956005,597.8160616769345,118.00847504333426,2020-01-31
Banks,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_895329,389.386444436242,219.68070277974638,2020-01-31
Securities firms,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_884138,84.57499851157901,15.160991877563523,2020-01-31
Corporates,Loans,> 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_826917,390.0091406789914,123.38123010548988,2020-01-31
Regulatory retail portfolios,Debt securities,>1y,Personal Banking,0.00 to < 0.15,iBank filial,transaction_290501,33.91304747268209,13.867929793731578,2020-01-31
Sovereigns and their central banks,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_962101,451.8697225003179,229.85844231588615,2020-01-31
Non-central government public sector entities,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_402000,868.5537945646671,353.55785593069095,2020-01-31
Multilateral development banks,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_152195,509.320170124105,155.32683726188543,2020-01-31
Banks,Other investments,> 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_905340,960.4642188285379,150.2575119777481,2020-01-31
Securities firms,Loans,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_969808,981.4224421651122,218.25894285033098,2020-01-31
