iso_code,latitude,longitude
MAC,22.198745,113.543873
MAR,31.791702,-7.09262
MCO,43.750298,7.412841
MDA,47.411631,28.369885
MDG,-18.766947,46.869107
MDV,3.202778,73.22068
MEX,23.634501,-102.552784
MHL,7.131474,171.184478
MKD,42.006191,20.959682
MLI,17.570692,-3.996166
MLT,35.937496,14.375416
MMR,21.913965,95.956223
MNE,42.708678,19.37439
MNG,46.862496,103.846656
MOZ,-18.665695,35.529562
MRT,21.00789,-10.940835
MSR,16.742498,-62.187366
MUS,-20.348404,57.552152
MWI,-13.254308,34.301525
MYS,4.210484,101.975766
NAM,-22.95764,18.49041
NCL,-20.904305,165.618042
NER,17.607789,8.081666
NGA,9.081999,8.675277
NIC,12.865416,-85.207229
NIU,-19.054445,-169.867233
NLD,52.132633,5.291266
NOR,60.472024,8.468946
NPL,28.394857,84.124008
NRU,-0.522778,166.931503
NZL,-40.900557,174.885971
OMN,21.512583,55.923255
OWID_KOS,42.602636,20.902977
PAK,30.375321,69.345116
PAN,8.537981,-80.782127
PCN,-24.703615,-127.439308
PER,-9.189967,-75.015152
PHL,12.879721,121.774017
PNG,-6.314993,143.95555
POL,51.919438,19.145136
PRT,39.399872,-8.224454
PRY,-23.442503,-58.443832
PSE,31.952162,35.233154
PYF,-17.679742,-149.406843
QAT,25.354826,51.183884
ROU,45.943161,24.96676
RUS,61.52401,105.318756
RWA,-1.940278,29.873888
SAU,23.885942,45.079162
SDN,12.862807,30.217636
SEN,14.497401,-14.452362
SGP,1.352083,103.819836
SHN,-24.143474,-10.030696
SLB,-9.64571,160.156194
SLE,8.460555,-11.779889
SLV,13.794185,-88.89653
SMR,43.94236,12.457777
SOM,5.152149,46.199616
SRB,44.016521,21.005859
SSD,6.876991,31.306978
STP,0.255436,6.602781
SUR,3.919305,-56.027783
SVK,48.669026,19.699024
SVN,46.151241,14.995463
SWE,60.128161,18.643501
SWZ,-26.522503,31.465866
SXM,18.0347188,-63.0681114
SYC,-4.679574,55.491977
SYR,34.802075,38.996815
TCA,21.694025,-71.797928
TCD,15.454166,18.732207
TGO,8.619543,0.824782
THA,15.870032,100.992541
TJK,38.861034,71.276093
TKM,38.969719,59.556278
TLS,-8.874217,125.727539
TON,-21.178986,-175.198242
TTO,10.691803,-61.222503
TUN,33.886917,9.537499
TUR,38.963745,35.243322
TUV,-7.109535,177.64933
TWN,23.69781,120.960515
TZA,-6.369028,34.888822
UGA,1.373333,32.290275
UKR,48.379433,31.16558
URY,-32.522779,-55.765835
USA,37.09024,-95.712891
UZB,41.377491,64.585262
VAT,41.902916,12.453389
VCT,12.984305,-61.287228
VEN,6.42375,-66.58973
VGB,18.420695,-64.639968
VNM,14.058324,108.277199
VUT,-15.376706,166.959158
WLF,-13.768752,-177.156097
WSM,-13.759029,-172.104629
YEM,15.552727,48.516388
ZAF,-30.559482,22.937506
ZMB,-13.133897,27.849332
ZWE,-19.015438,29.154857
