CustomerID,Gender,SeniorCitizen,Partner,Dependents,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,ChurnProbability,ChurnPredicted,Churn,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_Tenure_12-24,TenureGroup_Tenure_24-48,TenureGroup_Tenure_48-60,TenureGroup_Tenure_gt_60,Subset_Train,Tenure,MonthlyCharges,TotalCharges
9558-IHEZX,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1.5680864128776455,1.3971696799959468,2.2028022285905746
2592-YKDIF,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,-1.2809525191428355,-1.4804639591676432,-0.9993681221736688
5044-LRQAQ,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,-1.0367491821125085,0.146531449086308,-0.7977913023951488
8364-TRMMK,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1.199551406799393,-0.4712938287665231,-0.9416330291071832
5281-BUZGT,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.14356694686740504,0.8676051561220915,0.39665716939613976
6374-NTQLP,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1.6087869690493668,1.3089089260169708,2.2753072767370703
2842-JTCCU,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-1.2402519629711144,-0.6245011752960661,-0.9729144712840992
7814-LEEVE,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,-1.2809525191428355,-1.4821292564125295,-0.9993901668827433
3951-NJCVI,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.387770283897732,1.0074901246925438,0.7307667801314032
5968-VXZLG,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-1.2402519629711144,-0.6061829056023162,-0.9695857202138284
3753-TSEMP,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,-0.7111447327387392,0.7776791048982298,-0.3952328699831244
2608-BHKFN,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,-1.158850850627672,0.17484150224937553,-0.8906656617266125
5605-XNWEN,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1.6087869690493668,-1.3255913153932137,-0.21360651191715485
7901-TBKJX,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0.9575780703018282,1.2073257940789044,1.4580217325038192
6260-ONULR,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1.2809525191428355,-0.0666265982591433,-0.9806521641692982
8316-BBQAY,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1.3238830758473186,-0.1615485412176643,0.720449856284471
8853-TZDGH,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1.6087869690493668,1.5587035127499214,2.524434533989591
9637-CDTKZ,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1.6087869690493668,1.6419683749942382,2.5569063904565374
4869-EPIUS,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0.9575780703018282,0.5362110043897109,1.0010349133865053
2019-HDCZY,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1.2424819635038762,1.2589500086703806,1.7678601185479024
5989-OMNJE,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,-0.34483972719324885,-0.23981751172732219,-0.4053073020302354
9373-WSLOY,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0.021465278352241563,-0.4929426929500454,-0.23640074110033396
6752-APNJL,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.387770283897732,-0.3430659409102751,0.006223326975168099
5498-IBWPI,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1.3645836320190399,-0.5129262598886815,0.4253814253203974
8992-OBVDG,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,-0.4669413957084123,-0.10492843489152899,-0.3939101874386459
8219-VYBVI,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0.26566861538256853,-1.3255913153932137,-0.5655282475847283
5276-KQWHG,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.2402519629711144,0.1598538270453984,-0.9502965997735172
3090-HAWSU,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1.161080851160434,1.5587035127499214,2.0232701178866965
4573-JKNAE,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,-0.8332464012539027,-1.5137699040653698,-0.9147384840361208
9140-CZQZZ,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1.445984744362482,0.49291327602266577,1.4235438075110802
0993-OSGPT,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1.445984744362482,-0.13823437978925573,0.7446108574302779
5478-JJVZK,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.021465278352241563,-0.12990789356482405,-0.11162768773786429
5627-TVBPP,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0.10286639069568387,-1.4887904453920748,-0.7241840187949216
5245-VDBUR,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0.7947758456149435,-0.9775441912119693,-0.14465066193167686
0064-SUDOG,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,-0.8332464012539027,-1.4821292564125295,-0.9093595750219083
8413-YNHNV,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1.4866853005342033,0.8609439671425466,1.7790367860487457
0604-THJFP,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1.0796797388169916,0.3713465771459635,0.9943553665368892
8908-NMQTX,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1.6087869690493668,0.026630047454491473,1.0050029610199407
2866-IKBTM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,-1.2809525191428355,-1.5071087150858247,-0.999720837518863
0620-DLSLK,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,-0.7925458450821816,0.5695169492874377,-0.5547042954290794
8547-NSBBO,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0.10286639069568387,1.0641102310186794,0.49219893852563523
5370-IIVVL,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.1842675030391262,1.3222313039760616,0.6573578989128477
0871-URUWO,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,-0.7925458450821816,1.2472929279561766,-0.40916512611829764
4558-CGYCZ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,-1.158850850627672,-1.500447526106279,-0.9738183043561595
3349-ANQNH,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1.0796797388169916,1.155701579487428,1.5885264102256955
6869-FGJJC,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1.445984744362482,0.49291327602266577,1.399581208746945
2640-LYMOV,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,-1.2402519629711144,-1.5037781205960519,-0.9912336245251261
7310-EGVHZ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,-1.2809525191428355,-1.485459850902302,-0.9994342563008928
8642-GVWRF,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,-1.2402519629711144,0.49624387051243873,-0.9355927788207316
3716-UVSPD,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.2809525191428355,-0.5162568543784543,-0.9866042356194513
2718-YSKCS,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1.5680864128776455,-1.5054434178409382,-0.3966216866548267
5727-MYATE,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1.6087869690493668,0.8659398588772053,1.8123242967514537
0420-HLGXF,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.26566861538256853,1.1640280657118598,0.7711085977379967
2568-BRGYX,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.158850850627672,0.17983739398403473,-0.90342954828083
9385-NXKDA,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1.6087869690493668,0.5944964079607327,1.60146665445251
4310-KEDTB,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,-0.2634386148498065,-1.1657227798841256,-0.6615770450229403
3523-QRQLL,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,-0.4262408395366912,0.15652323255562592,-0.3477926560544963
2404-JIBFC,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0.916877514130107,0.6760959729601628,1.0453227339174596
2146-EGVDT,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1.0796797388169916,-1.5154352013102563,-0.48248582850055455
1480-BKXGA,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1.6087869690493668,1.7069149675448054,2.6973311872620025
3194-ORPIK,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0.7133747332715012,0.6527818115317545,0.8064462663846466
8149-AIQCG,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0.26566861538256853,0.2780899314323287,0.1956755567626352
4660-IRIBM,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,-0.5890430642235758,0.769352618673798,-0.3467785994370628
6725-TPKJO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0.4691713962411743,-1.4904557426369613,-0.6356745118602368
5216-WASFJ,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,-0.059935833991200754,0.6677694867357311,0.15271041877615943
8319-QBEHW,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,-0.2634386148498065,-0.827667439172199,-0.5569749004637675
9154-QDGTH,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.42847084006945313,1.3155701149965162,0.9544544431117884
5294-IMHHT,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0.8354764017866647,1.0974161759164063,1.2151772173375706
0880-TKATG,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.158850850627672,1.2106563885686774,-0.8381992541289662
6050-FFXES,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1.4866853005342033,1.3505413571391292,2.18402013645898
2228-BZDEE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0.8761769579583859,-1.4887904453920748,-0.532417094554617
2851-MMUTZ,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,-0.22273805867808538,-0.28811113182902603,-0.37373927863534917
9079-YEXQJ,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0.8761769579583859,1.542050540301058,1.643572048785075
4078-SAYYN,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.8739469574256239,1.1973340106095864,-0.510240117225528
1501-SGHBW,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1.2402519629711144,-0.6311623642756113,-0.9726278900661289
0440-EKDCF,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1.201781407332155,-0.15488735223811909,0.6464237232118255
7047-YXDMZ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,-0.4669413957084123,-1.4921210398818474,-0.8241788191574945
5232-NXPAY,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.5912730647563378,0.3213876597993734,0.5393305265272184
7663-YJHSN,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1.6087869690493668,1.303913034282312,2.323452921356086
3086-RUCRN,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1.3645836320190399,1.275602981119244,1.8993568081781373
4767-HZZHQ,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.10063639016292192,0.5745128410220963,0.12484590650581273
5311-IHLEI,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.8332464012539027,-0.4613020452972049,-0.7412686683277686
0207-MDKNV,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,-0.7111447327387392,1.3422148709146975,-0.3105150530092779
9873-MNDKV,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8739469574256239,-0.6711294981528835,-0.8001280415570609
7938-OUHIO,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.199551406799393,1.1290568235692466,-0.8788717423716794
2240-HSJQD,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0.22496805921084734,0.567851652042551,0.3768169312289626
3594-BDSOA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,-0.34483972719324885,-1.4787986619227569,-0.7954766079423116
1833-TCXKK,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0.5098719524128954,1.4304756248936736,1.1444577906261215
9375-MHRRS,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1.0774497382842296,-0.49127739570515916,-0.8812084815335915
1038-ZAGBI,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,-0.8332464012539027,-1.498782228861393,-0.9071110146962951
2013-SGDXK,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.2809525191428355,0.6494512170419815,-0.9711729392672025
9588-YRFHY,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0.6726741770997801,-1.4954516343716202,-0.5574819287724843
8087-LGYHQ,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.9553480697690663,0.9741841797948172,-0.6504885563583958
8295-KMENE,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1.0796797388169916,0.38799954959482685,0.9842809344897779
7080-TNUWP,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1.5273858567059244,1.0058248274476578,1.9028398722119306
5387-ASZNZ,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1.3645836320190399,-0.03165535611653008,0.8321063077475293
8201-AAXCB,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,-0.3041391710215277,-0.14822616325857366,-0.3890383067331501
5014-WUQMG,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0.5912730647563378,1.042461366835157,0.9278244345496215
2978-XXSOG,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,-0.4262408395366912,-0.19152389162561856,-0.45567946226579076
5898-IGSLP,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,-0.059935833991200754,0.8159809415306152,0.23630395558719913
5299-SJCZT,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,-1.199551406799393,1.2239787665277677,-0.8767995397186632
4024-CSNBY,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1.6087869690493668,0.9808453687743627,2.0116746009134348
2232-DMLXU,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1.2809525191428355,-0.3197517794818663,-0.9840029599486438
9838-BFCQT,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1.6087869690493668,-1.2889547760057143,-0.19204678644215564
3705-RHRFR,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1.4866853005342033,1.144044498773224,2.0229614919596512
9609-BENEA,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.10286639069568387,0.13987026010676257,0.06819100418398463
8076-FEZKJ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,-0.9146475135973451,-1.508774012330711,-0.9087643678768931
3537-RYBHH,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0.5912730647563378,0.08824604551528621,0.42544755944762136
8042-RNLKO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1.3645836320190399,-1.3106036401892367,-0.25919497028351296
8514-VZHEB,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1.0796797388169916,-1.508774012330711,-0.5022599325405078
6158-DWPZT,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-0.9553480697690663,-1.3555666658011678,-0.8937960104152116
7601-GNDYK,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0.10286639069568387,-1.5054434178409382,-0.7054680607905511
2587-EKXTS,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.4691713962411743,1.5553729182601488,1.1587207173974143
8075-GXIUB,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,-0.9553480697690663,-1.4971169316165065,-0.9275905494266367
5219-YIPTK,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.021465278352241563,1.3189007094862892,0.49493248245089067
6339-DKLMK,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,-0.7925458450821816,-1.104106781823331,-0.8364136326939203
