iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
UKR,Ukraine,"43,641,005","43,733,762","603,500 sq_km",72/sq_km,-0.61%,0.553,35
IRQ,Iraq,"41,613,259","40,222,493","438,317 sq_km",94/sq_km,2.38%,0.527,36
AFG,Afghanistan,"40,118,376","38,928,346","652,230 sq_km",61/sq_km,2.33%,0.509,37
CAN,Canada,"38,120,380","37,742,154","9,984,670 sq_km",4/sq_km,0.86%,0.483,38
POL,Poland,"37,877,090","37,846,611","312,679 sq_km",121/sq_km,-0.13%,0.480,39
MAR,Morocco,"37,392,629","36,910,560","446,550 sq_km",84/sq_km,1.18%,0.474,40
SAU,Saudi Arabia,"35,662,410","34,813,871","2,149,690 sq_km",16/sq_km,1.51%,0.452,41
UZB,Uzbekistan,"33,921,052","33,469,203","447,400 sq_km",76/sq_km,1.39%,0.430,42
AGO,Angola,"33,843,117","32,866,272","1,246,700 sq_km",27/sq_km,3.25%,0.429,43
PER,Peru,"33,345,718","32,971,854","1,285,216 sq_km",26/sq_km,1.18%,0.423,44
MYS,Malaysia,"32,839,560","32,365,999","330,803 sq_km",99/sq_km,1.27%,0.416,45
MOZ,Mozambique,"32,021,676","31,255,435","801,590 sq_km",40/sq_km,2.90%,0.406,46
GHA,Ghana,"31,777,266","31,072,940","238,533 sq_km",133/sq_km,2.12%,0.403,47
YEM,Yemen,"30,558,418","29,825,964","527,968 sq_km",58/sq_km,2.23%,0.387,48
NPL,Nepal,"29,351,194","29,136,808","147,181 sq_km",202/sq_km,1.85%,0.372,49
VEN,Venezuela,"29,034,698","28,435,940","916,445 sq_km",31/sq_km,0.95%,0.368,50
MDG,Madagascar,"28,400,249","27,691,018","587,041 sq_km",48/sq_km,2.66%,0.360,51
CMR,Cameroon,"27,134,031","26,545,863","475,442 sq_km",57/sq_km,2.56%,0.344,52
AUS,Australia,"25,907,349","25,499,884","7,692,024 sq_km",3/sq_km,1.13%,0.328,55
NER,Niger,"25,094,096","24,206,644","1,267,000 sq_km",20/sq_km,3.82%,0.318,56
LKA,Sri Lanka,"21,518,246","21,413,249","65,610 sq_km",328/sq_km,0.39%,0.273,58
MLI,Mali,"20,787,846","20,250,833","1,240,192 sq_km",17/sq_km,2.99%,0.263,60
MWI,Malawi,"19,691,214","19,129,952","118,484 sq_km",166/sq_km,2.71%,0.250,61
CHL,Chile,"19,318,089","19,116,201","756,102 sq_km",25/sq_km,0.50%,0.245,62
ROU,Romania,"19,088,764","19,237,691","238,391 sq_km",80/sq_km,-0.57%,0.242,63
KAZ,Kazakhstan,"19,068,824","18,776,707","2,724,900 sq_km",7/sq_km,1.16%,0.242,64
ZMB,Zambia,"18,898,851","18,383,955","752,612 sq_km",25/sq_km,2.92%,0.240,65
SYR,Syria,"16,745,819","17,500,658","185,180 sq_km",99/sq_km,4.43%,0.212,66
GTM,Guatemala,"18,264,522","17,915,568","108,889 sq_km",168/sq_km,1.87%,0.232,67
ECU,Ecuador,"17,889,935","17,643,054","276,841 sq_km",65/sq_km,1.39%,0.227,68
SEN,Senegal,"17,239,237","16,743,927","196,722 sq_km",87/sq_km,2.70%,0.219,69
NLD,Netherlands,"17,199,321","17,134,872","41,850 sq_km",410/sq_km,0.22%,0.218,70
KHM,Cambodia,"16,980,153","16,718,965","181,035 sq_km",94/sq_km,1.36%,0.215,71
SOM,Somalia,"16,188,712","15,893,222","637,657 sq_km",26/sq_km,2.93%,0.205,73
ZWE,Zimbabwe,"15,210,203","14,862,924","390,757 sq_km",39/sq_km,1.54%,0.193,74
GIN,Guinea,"13,444,005","13,132,795","245,857 sq_km",55/sq_km,2.78%,0.170,75
RWA,Rwanda,"13,221,126","12,952,218","26,338 sq_km",504/sq_km,2.50%,0.168,76
BEN,Benin,"12,413,822","12,123,200","112,622 sq_km",111/sq_km,2.70%,0.157,77
TUN,Tunisia,"11,941,183","11,818,619","163,610 sq_km",73/sq_km,0.99%,0.151,79
BOL,Bolivia,"11,846,649","11,673,021","1,098,581 sq_km",11/sq_km,1.37%,0.150,80
BEL,Belgium,"11,671,843","11,589,623","30,528 sq_km",381/sq_km,0.37%,0.148,81
SSD,South Sudan,"11,767,296","11,193,725","619,745 sq_km",18/sq_km,1.68%,0.149,83
CUB,Cuba,"11,352,747","11,326,616","109,884 sq_km",103/sq_km,-0.08%,0.144,84
DOM,Dominican Republic,"10,979,750","10,847,910","48,671 sq_km",225/sq_km,0.98%,0.139,85
GRC,Greece,"10,389,580","10,423,054","131,990 sq_km",79/sq_km,-0.50%,0.132,87
JOR,Jordan,"10,587,658","10,203,134","89,342 sq_km",115/sq_km,0.65%,0.134,88
AZE,Azerbaijan,"10,289,449","10,139,177","86,600 sq_km",118/sq_km,0.83%,0.130,89
PRT,Portugal,"10,147,631","10,196,709","92,090 sq_km",110/sq_km,-0.28%,0.129,90
SWE,Sweden,"10,184,437","10,099,265","450,295 sq_km",23/sq_km,0.60%,0.129,91
HND,Honduras,"10,027,240","9,904,607","112,492 sq_km",89/sq_km,1.60%,0.127,92
ARE,United Arab Emirates,"10,091,177","9,890,402","83,600 sq_km",120/sq_km,1.02%,0.128,93
TJK,Tajikistan,"9,726,030","9,537,645","143,100 sq_km",68/sq_km,2.22%,0.123,94
HUN,Hungary,"9,629,275","9,660,351","93,028 sq_km",104/sq_km,-0.27%,0.122,95
BLR,Belarus,"9,451,909","9,449,323","207,600 sq_km",45/sq_km,-0.07%,0.120,96
PNG,Papua New Guinea,"9,126,829","8,947,024","462,840 sq_km",20/sq_km,1.92%,0.116,97
AUT,Austria,"9,025,937","9,006,398","83,871 sq_km",108/sq_km,0.41%,0.114,98
ISR,Israel,"8,787,407","8,655,535","20,770 sq_km",423/sq_km,1.55%,0.111,99
CHE,Switzerland,"8,762,955","8,654,622","41,284 sq_km",211/sq_km,0.70%,0.111,100
SRB,Serbia,"8,698,241","8,737,371","88,361 sq_km",98/sq_km,-0.46%,0.110,101
TGO,Togo,"8,487,152","8,278,724","56,785 sq_km",149/sq_km,2.41%,0.108,102
SLE,Sierra Leone,"8,140,464","7,976,983","71,740 sq_km",113/sq_km,2.06%,0.103,103
HKG,Hong Kong,"7,552,568","7,496,981","1,104 sq_km","6,841/sq_km",0.74%,0.096,104
LAO,Laos,"7,390,245","7,275,560","236,800 sq_km",31/sq_km,1.43%,0.094,105
PRY,Paraguay,"7,221,132","7,132,538","406,752 sq_km",18/sq_km,1.22%,0.092,106
LBY,Libya,"6,828,426","6,871,292","1,759,540 sq_km",4/sq_km,1.27%,0.087,107
BGR,Bulgaria,"6,905,652","6,948,445","110,879 sq_km",62/sq_km,-0.75%,0.088,108
LBN,Lebanon,"7,415,661","6,825,445","10,452 sq_km",648/sq_km,-0.82%,0.094,109
NIC,Nicaragua,"6,692,369","6,624,554","130,373 sq_km",51/sq_km,1.17%,0.085,110
KGZ,Kyrgyzstan,"6,621,139","6,524,195","199,951 sq_km",33/sq_km,1.60%,0.084,111
SLV,El Salvador,"6,496,100","6,486,205","21,041 sq_km",310/sq_km,0.50%,0.082,112
TKM,Turkmenistan,"6,093,336","6,031,200","488,100 sq_km",13/sq_km,1.44%,0.077,113
SGP,Singapore,"5,987,723","5,850,342",710 sq_km,"8,305/sq_km",0.79%,0.076,114
DNK,Denmark,"5,816,016","5,792,202","43,094 sq_km",135/sq_km,0.36%,0.074,115
FIN,Finland,"5,574,967","5,540,720","338,424 sq_km",16/sq_km,0.14%,0.071,117
NOR,Norway,"5,495,656","5,421,241","323,802 sq_km",17/sq_km,0.82%,0.070,118
SVK,Slovakia,"5,463,729","5,459,642","49,037 sq_km",111/sq_km,0.02%,0.069,119
OMN,Oman,"5,638,733","5,106,626","309,500 sq_km",17/sq_km,2.29%,0.071,120
LBR,Liberia,"5,178,479","5,057,681","111,369 sq_km",47/sq_km,2.42%,0.066,122
CRI,Costa Rica,"5,150,473","5,094,118","51,100 sq_km",101/sq_km,0.88%,0.065,123
IRL,Ireland,"4,931,229","4,937,786","70,273 sq_km",71/sq_km,0.91%,0.063,124
CAF,Central African Republic,"4,918,285","4,829,767","622,984 sq_km",8/sq_km,1.87%,0.062,125
NZL,New Zealand,"4,850,779","4,822,233","270,467 sq_km",18/sq_km,0.80%,0.061,126
MRT,Mauritania,"4,747,873","4,649,658","1,030,700 sq_km",5/sq_km,2.70%,0.060,127
PAN,Panama,"4,378,712","4,314,767","75,417 sq_km",58/sq_km,1.55%,0.056,128
KWT,Kuwait,"4,525,462","4,270,571","17,818 sq_km",243/sq_km,1.36%,0.057,129
HRV,Croatia,"4,097,276","4,105,267","56,594 sq_km",72/sq_km,-0.58%,0.052,130
GEO,Georgia,"3,925,713","3,989,167","69,700 sq_km",57/sq_km,-0.24%,0.050,132
URY,Uruguay,"3,483,994","3,473,730","181,034 sq_km",19/sq_km,0.33%,0.044,134
MNG,Mongolia,"3,330,919","3,278,290","1,564,110 sq_km",2/sq_km,1.56%,0.042,135
JAM,Jamaica,"2,970,233","2,961,167","10,991 sq_km",271/sq_km,0.42%,0.038,137
ARM,Armenia,"2,975,469","2,963,243","29,743 sq_km",100/sq_km,0.16%,0.038,138
QAT,Qatar,"3,045,916","2,881,053","11,586 sq_km",253/sq_km,1.72%,0.039,139
ALB,Albania,"2,877,905","2,877,797","28,748 sq_km",100/sq_km,-0.17%,0.036,140
LTU,Lithuania,"2,679,002","2,722,289","65,300 sq_km",41/sq_km,-1.19%,0.034,142
NAM,Namibia,"2,598,222","2,540,905","825,615 sq_km",3/sq_km,1.83%,0.033,143
GMB,Gambia,"2,490,609","2,416,668","10,689 sq_km",233/sq_km,2.91%,0.032,144
BWA,Botswana,"2,392,694","2,351,627","582,000 sq_km",4/sq_km,1.94%,0.030,145
GAB,Gabon,"2,268,419","2,225,734","267,668 sq_km",9/sq_km,2.39%,0.029,146
LSO,Lesotho,"2,169,594","2,142,249","30,355 sq_km",71/sq_km,0.79%,0.028,147
MKD,North Macedonia,"2,087,915","2,083,374","25,713 sq_km",81/sq_km,-0.03%,0.026,148
SVN,Slovenia,"2,083,020","2,078,938","20,273 sq_km",103/sq_km,-0.01%,0.026,149
LVA,Latvia,"1,865,321","1,886,198","64,559 sq_km",29/sq_km,-1.02%,0.024,151
BHR,Bahrain,"1,712,640","1,701,575",765 sq_km,"2,285/sq_km",2.75%,0.022,152
GNQ,Equatorial Guinea,"1,436,862","1,402,985","28,051 sq_km",52/sq_km,3.34%,0.018,153
EST,Estonia,"1,320,656","1,326,535","45,227 sq_km",29/sq_km,-0.10%,0.017,156
MUS,Mauritius,"1,277,824","1,271,768","2,040 sq_km",624/sq_km,0.13%,0.016,157
CYP,Cyprus,"1,221,230","1,207,359","9,251 sq_km",131/sq_km,0.68%,0.015,158
DJI,Djibouti,"999,029","988,000","23,200 sq_km",43/sq_km,1.44%,0.013,160
FJI,Fiji,"902,360","896,445","18,272 sq_km",49/sq_km,0.72%,0.011,161
COM,Comoros,"889,406","869,601","1,862 sq_km",477/sq_km,2.17%,0.011,163
GUY,Guyana,"788,624","786,552","214,969 sq_km",4/sq_km,0.48%,0.010,164
BTN,Bhutan,"783,044","771,608","38,394 sq_km",20/sq_km,1.07%,0.010,165
SLB,Solomon Islands,"698,045","686,884","28,896 sq_km",24/sq_km,2.49%,0.009,166
LUX,Luxembourg,"640,036","625,978","2,586 sq_km",245/sq_km,1.41%,0.008,168
MNE,Montenegro,"629,100","628,066","13,812 sq_km",45/sq_km,-0.00%,0.008,169
SUR,Suriname,"591,641","586,632","163,820 sq_km",4/sq_km,0.88%,0.007,171
CPV,Cape Verde,"562,191","555,987","4,033 sq_km",139/sq_km,1.06%,0.007,172
MDV,Maldives,"549,154","540,544",300 sq_km,"1,812/sq_km",0.57%,0.007,173
MLT,Malta,"442,921","441,543",316 sq_km,"1,401/sq_km",0.28%,0.006,174
BLZ,Belize,"406,222","397,628","22,966 sq_km",18/sq_km,1.83%,0.005,176
BHS,Bahamas,"399,319","393,244","13,943 sq_km",28/sq_km,0.93%,0.005,178
ISL,Iceland,"343,484","341,243","103,000 sq_km",3/sq_km,0.62%,0.004,180
NCL,New Caledonia,"289,358","285,498","18,575 sq_km",16/sq_km,0.95%,0.004,183
BRB,Barbados,"288,518","287,375",430 sq_km,669/sq_km,0.12%,0.004,184
PYF,French Polynesia,"284,275","280,908","4,167 sq_km",68/sq_km,0.58%,0.004,185
WSM,Samoa,"199,849","198,414","2,842 sq_km",70/sq_km,0.87%,0.003,188
LCA,Saint Lucia,"185,358","183,627",616 sq_km,299/sq_km,0.42%,0.002,189
CUW,Curacao,"165,069","164,093",444 sq_km,371/sq_km,0.43%,0.002,191
GRD,Grenada,"112,899","112,523",344 sq_km,329/sq_km,0.44%,0.001,194
ABW,Aruba,"107,202","106,766",180 sq_km,596/sq_km,0.41%,0.001,196
TON,Tonga,"105,720","105,695",747 sq_km,143/sq_km,1.01%,0.001,197
SYC,Seychelles,"99,020","98,347",452 sq_km,219/sq_km,0.57%,0.001,199
AND,Andorra,"77,562","77,265",468 sq_km,165/sq_km,0.12%,0.001,202
DMA,Dominica,"72,113","71,986",751 sq_km,96/sq_km,0.25%,0.001,203
CYM,Cayman Islands,"67,429","65,722",264 sq_km,252/sq_km,1.18%,0.001,204
BMU,Bermuda,"62,907","62,278",54 sq_km,"1,150/sq_km",-0.30%,0.001,205
GRL,Greenland,"56,755","56,770","2,166,086 sq_km",0/sq_km,0.19%,0.001,208
MCO,Monaco,"39,039","39,242",2 sq_km,"19,756/sq_km",0.69%,0.000,213
LIE,Liechtenstein,"38,425","38,128",160 sq_km,239/sq_km,0.32%,0.000,216
SMR,San Marino,"34,395","33,931",61 sq_km,558/sq_km,0.25%,0.000,217
GIB,Gibraltar,"33,826","33,691",6 sq_km,"5,616/sq_km",0.02%,0.000,218
AIA,Anguilla,"15,392","15,003",91 sq_km,166/sq_km,0.76%,0.000,222
TUV,Tuvalu,"11,838","11,792",26 sq_km,459/sq_km,1.18%,0.000,223
NRU,Nauru,"10,891","10,824",21 sq_km,518/sq_km,0.48%,0.000,225
MSR,Montserrat,"5,026","4,992",102 sq_km,49/sq_km,-0.30%,0.000,228
